Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1-Mar-1938, M,0.02,0.2, M
2-Mar-1938, M,0.11,1.5, M
3-Mar-1938, M,0.26,3.5, M
4-Mar-1938, M,0,0, M
5-Mar-1938, M,0,0,12
6-Mar-1938, M,0.26, T, M
7-Mar-1938, M,0.01,0.2,12
8-Mar-1938, M,0.05,1.8,14
9-Mar-1938, M,0.01, T, M
10-Mar-1938, M,0,0, M
11-Mar-1938, M,0,0, M
12-Mar-1938, M,0,0,13
13-Mar-1938, M, T, T, M
14-Mar-1938, M,0.13,0,13
15-Mar-1938, M,0,0, M
16-Mar-1938, M,0,0, M
17-Mar-1938, M,0.23,3,12
18-Mar-1938, M,0.24,0.2, M
19-Mar-1938, M,0.01, T, M
20-Mar-1938, M,0,0,12
21-Mar-1938, M,0.07,0, M
22-Mar-1938, M,0,0, M
23-Mar-1938, M,0,0, M
24-Mar-1938, M,0.03,0, M
25-Mar-1938, M, T,0, M
26-Mar-1938, M,0,0, M
27-Mar-1938, M,0.34,4.3,4
28-Mar-1938, M,0.13,1.8,5
29-Mar-1938, M,0.06,0.2,4
30-Mar-1938, M,0,0, M
31-Mar-1938, M,0,0,2
1-Apr-1938, M,0.08,0,0
2-Apr-1938, M,0,0, M
3-Apr-1938, M,0.02,0.5,1
4-Apr-1938, M,0.01, T, T
5-Apr-1938, M,0.06,0.3,1
6-Apr-1938, M, T, T, T
7-Apr-1938, M,0,0,0
8-Apr-1938, M,0,0, M
9-Apr-1938, M,0.26,2.8,3
10-Apr-1938, M,0.3,3.2,5
11-Apr-1938, M, T, T,5
12-Apr-1938, M,0,0,2
13-Apr-1938, M, T,0,0
14-Apr-1938, M,0.17,0, M
15-Apr-1938, M,0,0, M
16-Apr-1938, M,0.1,0, M
17-Apr-1938, M,0,0, M
18-Apr-1938, M,0.03,0, M
19-Apr-1938, M,0,0, M
20-Apr-1938, M,0,0, M
21-Apr-1938, M,0.09,0, M
22-Apr-1938, M,0,0, M
23-Apr-1938, M,0.22,0, M
24-Apr-1938, M,0,0, M
25-Apr-1938, M,0,0, M
26-Apr-1938, M,0,0, M
27-Apr-1938, M,0,0, M
28-Apr-1938, M,0,0, M
29-Apr-1938, M,0.09,0, M
30-Apr-1938, M,0.45,0, M
1-May-1938, M,0.1, M, M
2-May-1938, M,0.16, M, M
3-May-1938, M,0, M, M
4-May-1938, M,0, M, M
5-May-1938, M,0, M, M
6-May-1938, M,0, M, M
7-May-1938, M,0.03, M, M
8-May-1938, M,0.05, M, M
9-May-1938, M,0, M, M
10-May-1938, M,0, M, M
11-May-1938, M,0.07, M, M
12-May-1938, M,0.06, M, M
13-May-1938, M,0.02, M, M
14-May-1938, M,0.39, M, M
15-May-1938, M, T, M, M
16-May-1938, M,0.31, M, M
17-May-1938, M,0.04, M, M
18-May-1938, M,0, M, M
19-May-1938, M,0, M, M
20-May-1938, M,0, M, M
21-May-1938, M,0.73, M, M
22-May-1938, M,0.03, M, M
23-May-1938, M,0, M, M
24-May-1938, M,0.01, M, M
25-May-1938, M,0.05, M, M
26-May-1938, M,0, M, M
27-May-1938, M,0, M, M
28-May-1938, M,0, M, M
29-May-1938, M,0, M, M
30-May-1938, M,0, M, M
31-May-1938, M,0, M, M
1-Jun-1938, M,0, M, M
2-Jun-1938, M,0, M, M
