Date,Temp,Precip,Snowfall,Snowdepth
1-Dec-1977, M,0.35,2,4
2-Dec-1977, M,0,0, M
3-Dec-1977, M,0.13,2,6
4-Dec-1977, M, T,0, M
5-Dec-1977, M,0.25,4, M
6-Dec-1977, M,0.49,5, M
7-Dec-1977, M,0.1,0,12
8-Dec-1977, M,0,0, M
9-Dec-1977, M,0.32,5,15
10-Dec-1977, M,0.04,0, M
11-Dec-1977, M,0,0, M
12-Dec-1977, M,0,0, M
13-Dec-1977, M,0,0,12
14-Dec-1977, M,1.56,8,20
15-Dec-1977, M,0.09,0,21
16-Dec-1977, M, T,0, M
17-Dec-1977, M,0,0, M
18-Dec-1977, M,0,0, M
19-Dec-1977, M,0,0, M
20-Dec-1977, M,0,0, M
21-Dec-1977, M,0.32,2,22
22-Dec-1977, M,0.07,0,20
23-Dec-1977, M,0,0, M
24-Dec-1977, M,0,0,17
25-Dec-1977, M,0.42,3,20
26-Dec-1977, M,0,0, M
27-Dec-1977, M,0,0, M
28-Dec-1977, M,0,0, M
29-Dec-1977, M,0,0, M
30-Dec-1977, M,0.1,2,18
31-Dec-1977, M,0,0,20
1-Jan-1978, M,0,0,20
2-Jan-1978, M,0.14,2,22
3-Jan-1978, M,0,0, M
4-Jan-1978, M,0.01, T,22
5-Jan-1978, M,0.01, T, M
6-Jan-1978, M,0.02, T,21
7-Jan-1978, M,0.02, T, M
8-Jan-1978, M,0.18,4,23
9-Jan-1978, M,0.99,0, M
10-Jan-1978, M,0.05,4,16
11-Jan-1978, M,0,0,20
12-Jan-1978, M,0.03, T,20
13-Jan-1978, M,0.05, T,20
14-Jan-1978, M,0.62,8,28
15-Jan-1978, M,0,0,27
16-Jan-1978, M,0.01, T,27
17-Jan-1978, M,0,0,26
18-Jan-1978, M,0.82,10,36
19-Jan-1978, M,0,0,34
20-Jan-1978, M,0.55,6,40
21-Jan-1978, M,0.17,3,42
22-Jan-1978, M,0.01, T,41
23-Jan-1978, M,0,0,40
24-Jan-1978, M,0,0,38
25-Jan-1978, M,0.22,0,36
26-Jan-1978, M,0.75,0,33
27-Jan-1978, M,0.01, T, M
28-Jan-1978, M,0.01, T,32
29-Jan-1978, M,0,0,32
30-Jan-1978, M,0.02, T,32
31-Jan-1978, M,0.01, T,32
1-Feb-1978, M,0,0,32
2-Feb-1978, M,0.01, T,32
3-Feb-1978, M,0,0,32
4-Feb-1978, M,0,0,32
5-Feb-1978, M,0,0,32
6-Feb-1978, M,0,0,32
7-Feb-1978, M,0.9,19,51
8-Feb-1978, M,0.02, T,49
9-Feb-1978, M,0,0,47
10-Feb-1978, M,0,0,46
11-Feb-1978, M,0,0,45
12-Feb-1978, M,0,0,44
