Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
12-May-2017, M,0,0,0
13-May-2017, M,0,0,0
14-May-2017, M,0.35,0,0
15-May-2017, M,2.1,0,0
16-May-2017, M,0.1, T,0
17-May-2017, M, T,0,0
18-May-2017, M,0,0,0
19-May-2017, M,0.05,0,0
20-May-2017, M,0,0,0
21-May-2017, M,0,0,0
22-May-2017, M,0.15,0,0
23-May-2017, M,0,0,0
24-May-2017, M,0,0,0
25-May-2017, M,0,0,0
26-May-2017, M,0.49,0,0
27-May-2017, M,0,0,0
28-May-2017, M,0,0,0
29-May-2017, M,0,0,0
30-May-2017, M,0.09,0,0
31-May-2017, M,0.1,0,0
1-Jun-2017, M,0.19,0,0
2-Jun-2017, M,0.05,0,0
3-Jun-2017, M,0.17,0,0
4-Jun-2017, M,0.04,0,0
5-Jun-2017, M,0.11,0,0
6-Jun-2017, M,0.34,0,0
7-Jun-2017, M,0,0,0
8-Jun-2017, M,0,0,0
9-Jun-2017, M,0,0,0
10-Jun-2017, M,0.22,0,0
11-Jun-2017, M,0,0,0
12-Jun-2017, M,0,0,0
13-Jun-2017, M,0,0,0
14-Jun-2017, M,0,0,0
15-Jun-2017, M,0,0,0
16-Jun-2017, M,0.22,0,0
17-Jun-2017, M,0.55,0,0
18-Jun-2017, M,0,0,0
19-Jun-2017, M,0,0,0
20-Jun-2017, M,0.71,0,0
21-Jun-2017, M,0.25,0,0
22-Jun-2017, M,0.35,0,0
23-Jun-2017, M,0.22,0,0
24-Jun-2017, M,1.97,0,0
25-Jun-2017, M,0.05,0,0
26-Jun-2017, M, T,0,0
27-Jun-2017, M,0,0,0
28-Jun-2017, M,0.22,0,0
29-Jun-2017, M,0.22,0,0
30-Jun-2017, M,0.45,0,0
1-Jul-2017, M,0.04,0,0
2-Jul-2017, M,1.12,0,0
3-Jul-2017, M,0.03,0,0
4-Jul-2017, M,0,0,0
5-Jul-2017, M,0,0,0
6-Jul-2017, M,0,0,0
7-Jul-2017, M,0,0,0
8-Jul-2017, M,0.74,0,0
9-Jul-2017, M,0.22,0,0
10-Jul-2017, M,0.06,0,0
11-Jul-2017, M,0,0,0
12-Jul-2017, M, T,0,0
13-Jul-2017, M,0.52,0,0
14-Jul-2017, M,0.17,0,0
15-Jul-2017, M,0.42,0,0
16-Jul-2017, M,0.22,0,0
17-Jul-2017, M,0,0,0
18-Jul-2017, M,0.74,0,0
19-Jul-2017, M,0,0,0
20-Jul-2017, M,0,0,0
21-Jul-2017, M,0,0,0
22-Jul-2017, M,0,0,0
23-Jul-2017, M,0,0,0
24-Jul-2017, M,0,0,0
25-Jul-2017, M,0.35,0,0
26-Jul-2017, M,0.04,0,0
27-Jul-2017, M,0.03,0,0
28-Jul-2017, M,0.06,0,0
29-Jul-2017, M,0,0,0
30-Jul-2017, M,0,0,0
31-Jul-2017, M,0,0,0
1-Aug-2017, M, T,0,0
2-Aug-2017, M,0,0,0
3-Aug-2017, M,0.13,0,0
4-Aug-2017, M,0.34,0,0
5-Aug-2017, M,0.08,0,0
6-Aug-2017, M,0.6,0,0
7-Aug-2017, M,0.04,0,0
8-Aug-2017, M,0.53,0,0
9-Aug-2017, M, T,0,0
10-Aug-2017, M,0,0,0
11-Aug-2017, M,0.5,0,0
12-Aug-2017, M,0.09,0,0
13-Aug-2017, M,0.6,0,0
14-Aug-2017, M,0.16,0,0
15-Aug-2017, M,0,0,0
16-Aug-2017, M,0.16,0,0
17-Aug-2017, M,0.02,0,0
18-Aug-2017, M, T,0,0
19-Aug-2017, M,0.25,0,0
20-Aug-2017, M,0.17,0,0
21-Aug-2017, M, T,0,0
22-Aug-2017, M,0,0,0
23-Aug-2017, M,0.37,0,0
24-Aug-2017, M,0,0,0
25-Aug-2017, M,0,0,0
26-Aug-2017, M,0,0,0
27-Aug-2017, M,0,0,0
28-Aug-2017, M,0,0,0
29-Aug-2017, M,0,0,0
30-Aug-2017, M,0,0,0
31-Aug-2017, M,0,0,0
1-Sep-2017, M,0,0,0
2-Sep-2017, M,0,0,0
3-Sep-2017, M,0,0,0
4-Sep-2017, M,1.2,0,0
5-Sep-2017, M,0.01,0,0
6-Sep-2017, M,0.43,0,0
7-Sep-2017, M,0.42,0,0
8-Sep-2017, M,0.03,0,0
9-Sep-2017, M,0,0,0
10-Sep-2017, M,0,0,0
11-Sep-2017, M,0,0,0
12-Sep-2017, M,0,0,0
13-Sep-2017, M,0,0,0
14-Sep-2017, M,0,0,0
15-Sep-2017, M,0,0,0
16-Sep-2017, M,0,0,0
17-Sep-2017, M,0,0,0
18-Sep-2017, M,0,0,0
19-Sep-2017, M,0,0,0
20-Sep-2017, M,0,0,0
21-Sep-2017, M,0,0,0
22-Sep-2017, M,0,0,0
23-Sep-2017, M,0,0,0
24-Sep-2017, M,0,0,0
25-Sep-2017, M,0,0,0
26-Sep-2017, M,0,0,0
27-Sep-2017, M,0,0,0
28-Sep-2017, M,0.5,0,0
29-Sep-2017, M,0,0,0
30-Sep-2017, M, T,0,0
1-Oct-2017, M,0.05,0,0
2-Oct-2017, M,0,0,0
3-Oct-2017, M,0,0,0
4-Oct-2017, M,0,0,0
5-Oct-2017, M,0.06,0,0
6-Oct-2017, M,0,0,0
7-Oct-2017, M,0,0,0
8-Oct-2017, M,0,0,0
9-Oct-2017, M,0.36,0,0
10-Oct-2017, M,0.9,0,0
11-Oct-2017, M,0,0,0
12-Oct-2017, M,0,0,0
13-Oct-2017, M,0,0,0
14-Oct-2017, M,0,0,0
15-Oct-2017, M,0,0,0
16-Oct-2017, M,0,0,0
17-Oct-2017, M, T,0,0
18-Oct-2017, M,0,0,0
19-Oct-2017, M,0,0,0
20-Oct-2017, M,0,0,0
21-Oct-2017, M,0,0,0
22-Oct-2017, M,0,0,0
23-Oct-2017, M,0,0,0
24-Oct-2017, M,0,0,0
25-Oct-2017, M,2.35,0,0
26-Oct-2017, M,1.1,0,0
27-Oct-2017, M,1.14,0,0
28-Oct-2017, M, T,0,0
29-Oct-2017, M,0,0,0
30-Oct-2017, M,2.25,0,0
31-Oct-2017, M,0.11,0,0
1-Nov-2017, M,0.13,0,0
2-Nov-2017, M, T,0,0
3-Nov-2017, M,0.05,0,0
4-Nov-2017, M,0.7,0,0
5-Nov-2017, M,0.02,0,0
6-Nov-2017, M,0.27,0,0
7-Nov-2017, M,0.04,0,0
8-Nov-2017, M, T,0,0
9-Nov-2017, M,0,0,0
10-Nov-2017, M,0.05,0,0
11-Nov-2017, M, T,0.9,0
12-Nov-2017, M,0,0,0
13-Nov-2017, M, T,0,0
14-Nov-2017, M,0,0,0
15-Nov-2017, M,0,0,0
