Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
17-Jul-2009, M,0.01, M, M
18-Jul-2009, M,0.86, M, M
19-Jul-2009, M,0.06, M, M
20-Jul-2009, M, M, M, M
21-Jul-2009, M, M, M, M
22-Jul-2009, M,0.26, M, M
23-Jul-2009, M,0.28, M, M
24-Jul-2009, M,0.01, M, M
25-Jul-2009, M,0.13, M, M
26-Jul-2009, M,0.09, M, M
27-Jul-2009, M, M, M, M
28-Jul-2009, M, M, M, M
29-Jul-2009, M, M, M, M
30-Jul-2009, M,2.12, M, M
31-Jul-2009, M, M, M, M
1-Aug-2009, M,0.55, M, M
2-Aug-2009, M, M, M, M
3-Aug-2009, M,0.49, M, M
4-Aug-2009, M, M, M, M
5-Aug-2009, M,0.51, M, M
6-Aug-2009, M, M, M, M
7-Aug-2009, M,0.03, M, M
8-Aug-2009, M,0.83, M, M
9-Aug-2009, M, M, M, M
10-Aug-2009, M,0.01, M, M
11-Aug-2009, M,0.14, M, M
12-Aug-2009, M, M, M, M
13-Aug-2009, M, M, M, M
14-Aug-2009, M, M, M, M
15-Aug-2009, M, M, M, M
16-Aug-2009, M, M, M, M
17-Aug-2009, M, M, M, M
18-Aug-2009, M, M, M, M
19-Aug-2009, M,0.27, M, M
20-Aug-2009, M, M, M, M
21-Aug-2009, M, M, M, M
22-Aug-2009, M, M, M, M
23-Aug-2009, M,0.39, M, M
24-Aug-2009, M,0.02, M, M
25-Aug-2009, M, M, M, M
26-Aug-2009, M, M, M, M
27-Aug-2009, M, M, M, M
28-Aug-2009, M, M, M, M
29-Aug-2009, M, M, M, M
30-Aug-2009, M, M, M, M
31-Aug-2009, M,0.35, M, M
1-Sep-2009, M, M, M, M
2-Sep-2009, M, M, M, M
3-Sep-2009, M, M, M, M
4-Sep-2009, M, M, M, M
5-Sep-2009, M, M, M, M
6-Sep-2009, M, M, M, M
7-Sep-2009, M, M, M, M
8-Sep-2009, M, M, M, M
9-Sep-2009, M, M, M, M
10-Sep-2009, M, M, M, M
11-Sep-2009, M, M, M, M
12-Sep-2009, M, M, M, M
13-Sep-2009, M, M, M, M
14-Sep-2009, M, M, M, M
15-Sep-2009, M,0.09, M, M
16-Sep-2009, M,0,0, M
17-Sep-2009, M, M, M, M
18-Sep-2009, M,0.02, M, M
19-Sep-2009, M, M, M, M
20-Sep-2009, M, M, M, M
21-Sep-2009, M, M, M, M
22-Sep-2009, M, M, M, M
23-Sep-2009, M,0.02, M, M
24-Sep-2009, M, M, M, M
25-Sep-2009, M, M, M, M
26-Sep-2009, M, M, M, M
27-Sep-2009, M,0.06, M, M
28-Sep-2009, M,0.51, M, M
29-Sep-2009, M,0.53, M, M
30-Sep-2009, M, M, M, M
1-Oct-2009, M,0.09, M, M
2-Oct-2009, M, M, M, M
3-Oct-2009, M,0.16, M, M
4-Oct-2009, M,1.06, M, M
5-Oct-2009, M, M, M, M
6-Oct-2009, M,0.16, M, M
7-Oct-2009, M,0.19, M, M
8-Oct-2009, M, M, M, M
9-Oct-2009, M, M, M, M
10-Oct-2009, M,0.26, M, M
11-Oct-2009, M, M, M, M
12-Oct-2009, M,0.06, M, M
13-Oct-2009, M,0.2,1.5,2
14-Oct-2009, M, M, M, M
15-Oct-2009, M, M, M, M
16-Oct-2009, M, M, M, M
17-Oct-2009, M, M, M, M
18-Oct-2009, M, M, M, M
19-Oct-2009, M, M, M, M
20-Oct-2009, M, M, M, M
21-Oct-2009, M, M, M, M
22-Oct-2009, M, M, M, M
23-Oct-2009, M, M, M, M
24-Oct-2009, M, M, M, M
25-Oct-2009, M, M, M, M
26-Oct-2009, M, M, M, M
27-Oct-2009, M, M, M, M
28-Oct-2009, M, M, M, M
29-Oct-2009, M,0,0, M
30-Oct-2009, M,0,0, M
31-Oct-2009, M,0.04, M, M
1-Nov-2009, M,0.56, M, M
2-Nov-2009, M,0,0, M
3-Nov-2009, M,0,0, M
4-Nov-2009, M,0.1,0.3,0
5-Nov-2009, M, M, M, M
6-Nov-2009, M, M, M, M
7-Nov-2009, M, M, M, M
8-Nov-2009, M, M, M, M
9-Nov-2009, M, M, M, M
10-Nov-2009, M, M, M, M
11-Nov-2009, M, M, M, M
12-Nov-2009, M, M, M, M
13-Nov-2009, M, M, M, M
14-Nov-2009, M, M, M, M
15-Nov-2009, M,2.1, M, M
16-Nov-2009, M,0.23, M, M
17-Nov-2009, M,0,0, M
18-Nov-2009, M, M, M, M
19-Nov-2009, M, M, M, M
20-Nov-2009, M,0.35, M, M
21-Nov-2009, M,0.27, M, M
22-Nov-2009, M, M, M, M
23-Nov-2009, M, M, M, M
24-Nov-2009, M,0,0, M
25-Nov-2009, M, M, M, M
26-Nov-2009, M,0,0, M
27-Nov-2009, M, M, M, M
28-Nov-2009, M, M, M, M
29-Nov-2009, M, M, M, M
30-Nov-2009, M, M, M, M
1-Dec-2009, M, M, M, M
2-Dec-2009, M, M, M, M
3-Dec-2009, M,0.26, M,3
4-Dec-2009, M,0.88,1, M
5-Dec-2009, M, M, M, M
6-Dec-2009, M,0.1,0.2,0
7-Dec-2009, M,0.2,5.5, M
8-Dec-2009, M,0.2,2.3,6
9-Dec-2009, M,0.2,2,6
10-Dec-2009, M, M, M, M
11-Dec-2009, M, M, M, M
12-Dec-2009, M, M, M, M
13-Dec-2009, M, M, M, M
14-Dec-2009, M, M, M, M
15-Dec-2009, M, M, M, M
16-Dec-2009, M, M, M, M
17-Dec-2009, M, M, M, M
18-Dec-2009, M, M, M, M
19-Dec-2009, M, M, M, M
20-Dec-2009, M, M, M, M
21-Dec-2009, M,0.1,0.5,9
22-Dec-2009, M, M, M, M
23-Dec-2009, M, M, M, M
24-Dec-2009, M,0.1,0.7,14
25-Dec-2009, M, M, M, M
26-Dec-2009, M,0,0,12
27-Dec-2009, M,0.1, M,9
