Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1-Jul-1962,67.5,0.4,0,0
2-Jul-1962,55.5,0,0,0
3-Jul-1962,48.5, T,0,0
4-Jul-1962,48,0.11,0,0
5-Jul-1962,49.5,0.17,0,0
6-Jul-1962,53,0.05,0,0
7-Jul-1962,61.5,0.03,0,0
8-Jul-1962,63.5,0,0,0
9-Jul-1962,70.5,0,0,0
10-Jul-1962,64,0.61,0,0
11-Jul-1962,66,0.1,0,0
12-Jul-1962,62.5, T,0,0
13-Jul-1962,62,0.54,0,0
14-Jul-1962,55,0.36,0,0
15-Jul-1962,53.5,2,0,0
16-Jul-1962,58,0.22,0,0
17-Jul-1962,61.5, T,0,0
18-Jul-1962,60, T,0,0
19-Jul-1962,64,0.12,0,0
20-Jul-1962,62,0.1,0,0
21-Jul-1962,61.5,0.89,0,0
22-Jul-1962,62.5, T,0,0
23-Jul-1962,56.5,0,0,0
24-Jul-1962,59.5,0.37,0,0
25-Jul-1962,58.5,0,0,0
26-Jul-1962,60.5,0.3,0,0
27-Jul-1962,62.5,0.26,0,0
28-Jul-1962,67.5,0,0,0
29-Jul-1962,63.5,0,0,0
30-Jul-1962,64, T,0,0
31-Jul-1962,64.5,0.06,0,0
1-Aug-1962,66,0.13,0,0
2-Aug-1962,65.5,0,0,0
3-Aug-1962,60,0,0,0
4-Aug-1962,60,0,0,0
5-Aug-1962,65,0,0,0
6-Aug-1962,69,0,0,0
7-Aug-1962,72,0.78,0,0
8-Aug-1962,64,1.72,0,0
9-Aug-1962,61,0.05,0,0
10-Aug-1962,58,0,0,0
11-Aug-1962,60,0,0,0
12-Aug-1962,55.5,0.26,0,0
13-Aug-1962,62, T,0,0
14-Aug-1962,66,0,0,0
15-Aug-1962,65.5,0.22,0,0
16-Aug-1962,60.5,0,0,0
17-Aug-1962,64.5,0.56,0,0
18-Aug-1962,55,0,0,0
19-Aug-1962,55,0,0,0
20-Aug-1962,64.5,0.53,0,0
21-Aug-1962,59,0.32,0,0
22-Aug-1962,58.5,0,0,0
23-Aug-1962,53.5,0,0,0
24-Aug-1962,58,0,0,0
25-Aug-1962,64,0,0,0
26-Aug-1962,68.5,0,0,0
27-Aug-1962,67,0,0,0
28-Aug-1962,69,0,0,0
29-Aug-1962,62,0.4,0,0
30-Aug-1962,63,0.07,0,0
31-Aug-1962,68.5, T,0,0
1-Sep-1962,68,0,0,0
2-Sep-1962,62,0,0,0
3-Sep-1962,55.5,0,0,0
4-Sep-1962,53,0,0,0
5-Sep-1962,52.5,0,0,0
6-Sep-1962,53,0.37,0,0
7-Sep-1962,49.5,0.01,0,0
8-Sep-1962,54.5,0,0,0
9-Sep-1962,62.5,0,0,0
10-Sep-1962,58.5,0.06,0,0
11-Sep-1962,59.5,0.74,0,0
12-Sep-1962,59.5,0.2,0,0
13-Sep-1962,56,0.01,0,0
14-Sep-1962,57, T,0,0
15-Sep-1962,53,0,0,0
16-Sep-1962,48,0,0,0
17-Sep-1962,49.5,0,0,0
18-Sep-1962,55.5,0.63,0,0
19-Sep-1962,51,0.02,0,0
20-Sep-1962,44,0.04,0,0
21-Sep-1962,42.5, T,0,0
22-Sep-1962,40,0,0,0
23-Sep-1962,41.5,0,0,0
24-Sep-1962,44,0,0,0
25-Sep-1962,50,0,0,0
26-Sep-1962,47,0.05,0,0
27-Sep-1962,46,0.05,0,0
28-Sep-1962,47.5,0.23,0,0
29-Sep-1962,51.5,0,0,0
30-Sep-1962,50.5,0,0,0
1-Oct-1962,50,0.23,0,0
2-Oct-1962,51.5,0,0,0
3-Oct-1962,55,0,0,0
4-Oct-1962,53.5,0,0,0
5-Oct-1962,48.5,0,0,0
6-Oct-1962,47,0.15,0,0
7-Oct-1962,47.5,0.33,0,0
8-Oct-1962,54, T,0,0
9-Oct-1962,43,0,0,0
10-Oct-1962,42.5,0,0,0
11-Oct-1962,49, T,0,0
12-Oct-1962,40.5,0.18,0,0
13-Oct-1962,49.5,0,0,0
14-Oct-1962,44,0,0,0
15-Oct-1962,39,0,0,0
16-Oct-1962,47,0,0,0
17-Oct-1962,51.5,0,0,0
18-Oct-1962,39.5,0,0,0
19-Oct-1962,44.5,0,0,0
20-Oct-1962,50,0,0,0
21-Oct-1962,48,0.3,0,0
22-Oct-1962,43.5,0.12,0,0
23-Oct-1962,33.5,0.16,0,0
24-Oct-1962,40.5,0.24,0,0
25-Oct-1962,33,0,0,0
26-Oct-1962,30,0.26,6,6
27-Oct-1962,35, T, T,3
28-Oct-1962,34.5,0.22,0,1
29-Oct-1962,34,0.38,0, T
30-Oct-1962,29,0,0,0
31-Oct-1962,38.5,0.34,0,0
1-Nov-1962,45,1.52,0,0
2-Nov-1962,38,0,0,0
3-Nov-1962,31,0.2, T,0
4-Nov-1962,41,0.16,0,0
5-Nov-1962,35,0.09,0,0
6-Nov-1962,32,0,0,0
7-Nov-1962,31,0,0,0
8-Nov-1962,36,0,0,0
9-Nov-1962,38.5, T,0,0
10-Nov-1962,32,0.53,0,0
11-Nov-1962,42,0.85, T,0
12-Nov-1962,29.5,0.1,0,0
13-Nov-1962,24.5,0,0,0
14-Nov-1962,29,0.05, T, T
15-Nov-1962,30.5,0.63,9,9
16-Nov-1962,30,0,0,9
17-Nov-1962,33,0,0,7
18-Nov-1962,27,0,0,7
19-Nov-1962,21,0,0,7
20-Nov-1962,17,0,0,7
21-Nov-1962,22.5,0.02, T,6
22-Nov-1962,36.5,0.2,0,4
23-Nov-1962,32,0.15, T,3
24-Nov-1962,24.5,0,0,3
25-Nov-1962,21,0,0,3
26-Nov-1962,21.5,0,0,2
27-Nov-1962,30,0,0,2
28-Nov-1962,33,0,0,1
29-Nov-1962,32.5,0,0, T
30-Nov-1962,33,0,0, T
1-Dec-1962,37.5,0,0, T
2-Dec-1962,25,0,0, T
3-Dec-1962,30.5,0,0, T
4-Dec-1962,33,0,0, T
5-Dec-1962,28.5,0,0, T
6-Dec-1962,35.5,0.14,0, T
7-Dec-1962,38,0.55,0, T
8-Dec-1962,32.5,0.04,0, T
9-Dec-1962,29,0.02,0, T
10-Dec-1962,37.5,0,0, T
11-Dec-1962,26,0,0, T
12-Dec-1962,15.5,0,0, T
13-Dec-1962,8,0,0, T
14-Dec-1962,7.5,0,0, T
15-Dec-1962,3.5,0,0,0
16-Dec-1962,10.5,0.1,1,1
17-Dec-1962,7,0,1,1
18-Dec-1962,8.5,0,1,1
19-Dec-1962,12.5,0.08,2,3
20-Dec-1962,12,0,0,3
21-Dec-1962,2,0,0,3
22-Dec-1962,-1,0.57,12,15
23-Dec-1962,18,0.44,2,17
24-Dec-1962,16.5,0,0,16
25-Dec-1962, M,0,0,16
26-Dec-1962,15,0.03,1,16
27-Dec-1962,0,0,0,15
28-Dec-1962,3.5,0,0,15
29-Dec-1962,9.5,0,0,15
30-Dec-1962, M, S, S, M
31-Dec-1962, M, 2.70A, 24.0A, M
1-Jan-1963,23,1.06,2,36
2-Jan-1963,37.5,0.02,0,32
3-Jan-1963,25.5,0,0,30
4-Jan-1963,27.5,0,0,24
5-Jan-1963,31.5,0,0,23
6-Jan-1963,27.5, T, T,22
7-Jan-1963,23,0,0,20
8-Jan-1963,27.5,0,0,19
9-Jan-1963,32.5,0,0,18
10-Jan-1963,28.5,0,0,16
11-Jan-1963,20.5,0,0,16
12-Jan-1963,15,0.06,0.5,16
13-Jan-1963,24.5,0.5,6,22
14-Jan-1963,10.5,0.08, T,22
15-Jan-1963,2.5, T, T,22
16-Jan-1963,-7,0,0,22
17-Jan-1963,-4,0,0,22
18-Jan-1963,2.5,0.04,1,23
19-Jan-1963,19,0,0,22
20-Jan-1963,21.5,0.43,0,19
21-Jan-1963,17.5,0.36,1,20
22-Jan-1963,-1,0,0,20
23-Jan-1963,9.5,0.13,1,21
24-Jan-1963,18.5,0.32,3,24
25-Jan-1963,0,0,0,21
26-Jan-1963,-9.5,0.03, T,21
27-Jan-1963,13,1.14,15,36
28-Jan-1963,18.5,0,0,36
29-Jan-1963, M,0,0,36
30-Jan-1963,13,0.02, T,36
31-Jan-1963,-3.5,0,0,35
1-Feb-1963,-7,0,0,35
2-Feb-1963,-3,0.03,0.5,35
3-Feb-1963,14.5,0.79,1,33
4-Feb-1963,-15,0,0,33
5-Feb-1963,7.5,0.26,3,36
6-Feb-1963,4,0.06,2,38
7-Feb-1963,18,0.04,4,42
8-Feb-1963,4, T, T,42
9-Feb-1963,6,0,0,42
10-Feb-1963,15,0,0,40
11-Feb-1963,17,0,0,38
12-Feb-1963,7,0.16,1.5,39
13-Feb-1963,21.5,0.9,2,41
14-Feb-1963,22.5,0,0,40
