Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1893-01-01,16, M, M, M
1893-01-02,33.5,1.5,0.5, M
1893-01-03,15.5, M, M, M
1893-01-04,10.5, M, M, M
1893-01-05,1, M, M, M
1893-01-06,6.5, M, T, M
1893-01-07,8, M, M, M
1893-01-08,-0.5, M, M, M
1893-01-09,1, M, M, M
1893-01-10,20,0.4,4, M
1893-01-11,1.5, M, M, M
1893-01-12,-1.5, M, M, M
1893-01-13,-0.5, M, M, M
1893-01-14,-7, M, M, M
1893-01-15,-5.5, M, M, M
1893-01-16,0.5,0.2,2, M
1893-01-17,-1.5, M, M, M
1893-01-18,1, M, M, M
1893-01-19,0, M, M, M
1893-01-20,0, M, M, M
1893-01-21,5, M, M, M
1893-01-22,0.5, M, M, M
1893-01-23,-1.5,0.07,0.8, M
1893-01-24,12.5, M, M, M
1893-01-25,10,0.4,4, M
1893-01-26,20.5, M, M, M
1893-01-27,11.5, M, M, M
1893-01-28,-3.5,0.2,2, M
1893-01-29,18.5, M, M, M
1893-01-30,19,0.5, M, M
1893-01-31,6.5, M, T, M
1893-02-01,0, M,1, M
1893-02-02,9.5,0.1,2.1, M
1893-02-03,-4.5,0.21, M, M
1893-02-04,-9.5, M, M, M
1893-02-05,-5, M, M, M
1893-02-06,3.5,0.4,4, M
1893-02-07,23,0.4,1, M
1893-02-08,-1.5, M, M, M
1893-02-09,1, M, M, M
1893-02-10,29.5,0.6,2, M
1893-02-11,23.5, M, M, M
1893-02-12,12, M, M, M
1893-02-13,15.5, M, M, M
1893-02-14,30.5, M, M, M
1893-02-15,30.5, T, M, M
1893-02-16,9, M, M, M
1893-02-17,-1, M, M, M
1893-02-18,3,0.05,0.5, M
1893-02-19,14.5, M, M, M
1893-02-20,15.5,0.87,8.7, M
1893-02-21,9, M, M, M
1893-02-22,6,0.86,8.6, M
1893-02-23,12, M, M, M
1893-02-24,2.5, M, M, M
1893-02-25,9.5, M, M, M
1893-02-26,4, M, M, M
1893-02-27,16, T, M, M
1893-02-28,14, M, M, M
1893-03-01,21,0,0, M
1893-03-02,26.5,0,0, M
1893-03-03,13,0,0, M
1893-03-04,6,0,0, M
1893-03-05,9.5,0,0, M
1893-03-06,3.5,0,0, M
1893-03-07,11.5,0,0, M
1893-03-08,18.5,0,0, M
1893-03-09,27,0,0, M
1893-03-10,29,0,0, M
1893-03-11,25,0,0, M
1893-03-12,40,0,0, M
1893-03-13,37,0.72,0, M
1893-03-14,36,0,0, M
1893-03-15,29,0.2,2, M
1893-03-16,18,0,0, M
1893-03-17,17.5,0,0, M
1893-03-18,14,0,0, M
1893-03-19,11.5,0,0, M
1893-03-20,16.5,0,0, M
1893-03-21,23.5,0.05,0.5, M
1893-03-22,22.5, M, T, M
1893-03-23,11.5,0,0, M
1893-03-24,31, T,0, M
1893-03-25,37,0,0, M
1893-03-26,32.5,0,0, M
1893-03-27,26,0,0, M
1893-03-28,26,0,0, M
1893-03-29,25,0,0, M
1893-03-30,32,0.02, T, M
1893-03-31,34, M, T, M
1893-04-01,33, M, T, M
1893-04-02,29.5,0,0, M
1893-04-03,17, M, T, M
1893-04-04,26,0.2,2, M
1893-04-05,26.5,0,0, M
1893-04-06,18.5,0,0, M
1893-04-07,21.5,0.1,0, M
1893-04-08,30.5,0,0, M
1893-04-09,38.5,0,0, M
1893-04-10,36,0,0, M
1893-04-11,38,0,0, M
1893-04-12,41.5,0,0, M
1893-04-13,37.5, T,0, M
1893-04-14,39.5,0,0, M
1893-04-15,35,0,0, M
1893-04-16,35.5,0.67,6.8, M
1893-04-17,33,0,0, M
1893-04-18,32.5,0.4,4, M
1893-04-19,35,0,0, M
1893-04-20,35.5,0,0, M
1893-04-21,32,0.1,0, M
1893-04-22,37, T,0, M
1893-04-23,40, T,0, M
1893-04-24,39.5,0,0, M
1893-04-25,37.5,0.1,1, M
1893-04-26,35,0,0, M
1893-04-27,38, T,0, M
1893-04-28,42.5,0,0, M
1893-04-29,41.5,0,0, M
1893-04-30,43,0,0, M
1893-05-01,41,0, M, M
1893-05-02,39,0.38, M, M
1893-05-03,42.5, T, M, M
1893-05-04,39.5,0, M, M
1893-05-05,44.5,0.25, M, M
1893-05-06,41, T, M, M
1893-05-07,43.5,0, M, M
1893-05-08,44,0, M, M
1893-05-09,47,0.02, M, M
1893-05-10,61,0, M, M
1893-05-11,60.5,0, M, M
1893-05-12,67.5,0, M, M
1893-05-13,55.5,0, M, M
1893-05-14,47.5,0, M, M
1893-05-15,50.5,0, M, M
1893-05-16,49.5,0.6, M, M
1893-05-17,47,0, M, M
1893-05-18,58,0, M, M
1893-05-19,58, T, M, M
1893-05-20,59,0, M, M
1893-05-21,59, T, M, M
1893-05-22,58.5,0, M, M
