Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1-Jan-1930,24,0,0, M
2-Jan-1930,25,0.52,0, M
3-Jan-1930,35,0.73,0, M
4-Jan-1930, M,0,0, M
5-Jan-1930,6,0,0, M
6-Jan-1930,17.5,0,0, M
7-Jan-1930,33.5,0.38,0, M
8-Jan-1930,42,0,0, M
9-Jan-1930, M,0,0, M
10-Jan-1930, M,0.73,8, M
11-Jan-1930, M,0,0, M
12-Jan-1930,3.5,0.15,2, M
13-Jan-1930,14.5,0,0, M
14-Jan-1930,9,0,0, M
15-Jan-1930,12.5,0.5,5, M
16-Jan-1930,17.5,0,0, M
17-Jan-1930,7.5,0,0, M
18-Jan-1930,4,0.85,9, M
19-Jan-1930,10,0,0, M
20-Jan-1930,4.5,0,0, M
21-Jan-1930,7,0.11,1, M
22-Jan-1930,10,0,0, M
23-Jan-1930,-5,0,0, M
24-Jan-1930,-3,0,0, M
25-Jan-1930,9.5,0,0, M
26-Jan-1930, M,0,0, M
27-Jan-1930,1,0,0, M
28-Jan-1930,7.5,0,0, M
29-Jan-1930,11.5,0.32,5, M
30-Jan-1930,-1,0,0, M
31-Jan-1930,-5.5,0,0, M
1-Feb-1930,5,0,0, M
2-Feb-1930,5.5,0,0, M
3-Feb-1930,8,0,0, M
4-Feb-1930,-6,0,0, M
5-Feb-1930,-1,0,0, M
6-Feb-1930,-0.5,0,0, M
7-Feb-1930,-6, T,0, M
8-Feb-1930,4,0,0, M
9-Feb-1930,5,0,0, M
10-Feb-1930,20.5,0.25,0, M
11-Feb-1930, M,0,0, M
12-Feb-1930,8,0,0, M
13-Feb-1930,12,0,0, M
14-Feb-1930, M,1.11,3, M
15-Feb-1930,7.5,0,0, M
16-Feb-1930,5.5,0.28,3, M
17-Feb-1930, M,0,0, M
18-Feb-1930,9.5,0,0, M
19-Feb-1930, M,0,0, M
20-Feb-1930,30.5,0,0, M
21-Feb-1930,32.5,0,0, M
22-Feb-1930,26.5,0,0, M
23-Feb-1930,27.5,0,0, M
24-Feb-1930,43.5,0,0, M
25-Feb-1930,41.5,0.13,1, M
26-Feb-1930, M,0,0, M
27-Feb-1930,21.5,0,0, M
28-Feb-1930,22.5,0,0, M
1-Mar-1930,22.5,0,0, M
2-Mar-1930,22.5,0.62,2, M
3-Mar-1930, M,0,0, M
4-Mar-1930,6.5,0,0, M
5-Mar-1930,13.5,0,0, M
6-Mar-1930,22, T, T, M
7-Mar-1930,23,0,0, M
8-Mar-1930,34,1.74,0, M
9-Mar-1930,34.5,0,0, M
10-Mar-1930,36,0,0, M
11-Mar-1930,32.5,0.65,0, M
12-Mar-1930,33.5,0.15,0, M
13-Mar-1930, M, T, T, M
14-Mar-1930, M,0,0, M
15-Mar-1930,17,0,0, M
16-Mar-1930,20,0,0, M
17-Mar-1930,16,0,0, M
18-Mar-1930,21,0.34,4, M
19-Mar-1930,27,0,0, M
20-Mar-1930,22,0,0, M
21-Mar-1930,23.5,0,0, M
22-Mar-1930, M,0,0, M
23-Mar-1930,21,0,0, M
24-Mar-1930,25.5, M,3, M
25-Mar-1930, M,1.55,0, M
26-Mar-1930,35, T, T, M
27-Mar-1930,33, T, T, M
