Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1-Oct-2010, M,0.17, M, M
2-Oct-2010, M,0.07, M, M
3-Oct-2010, M, M, M, M
4-Oct-2010, M, M, M, M
5-Oct-2010, M,0.1, M, M
6-Oct-2010, M,0.07, M, M
7-Oct-2010, M, M, M, M
8-Oct-2010, M, M, M, M
9-Oct-2010, M,0.23, M, M
10-Oct-2010, M, M, M, M
11-Oct-2010, M, M, M, M
12-Oct-2010, M, M, M, M
13-Oct-2010, M, M, M, M
14-Oct-2010, M,0.05, M, M
15-Oct-2010, M, M, M, M
16-Oct-2010, M,0.2, M, M
17-Oct-2010, M, M, M, M
18-Oct-2010, M, M, M, M
19-Oct-2010, M, M, M, M
20-Oct-2010, M,0.15, M, M
21-Oct-2010, M, M, M, M
22-Oct-2010, M, M, M, M
23-Oct-2010, M, M, M, M
24-Oct-2010, M, M, M, M
25-Oct-2010, M, M, M, M
26-Oct-2010, M,0.88, M, M
27-Oct-2010, M,0.31, M, M
28-Oct-2010, M, M, M, M
29-Oct-2010, M, M, M, M
30-Oct-2010, M, M, M, M
31-Oct-2010, M, M, M, M
1-Nov-2010, M,0, M, M
2-Nov-2010, M,0, M, M
3-Nov-2010, M,0, M, M
4-Nov-2010, M,0.07, M, M
5-Nov-2010, M,0.5, M, M
6-Nov-2010, M,0.67, M, M
7-Nov-2010, M,0, M, M
8-Nov-2010, M,0, M, M
9-Nov-2010, M,0, M, M
10-Nov-2010, M,0, M, M
11-Nov-2010, M,0.13, M, M
12-Nov-2010, M,0, M, M
13-Nov-2010, M,0, M, M
14-Nov-2010, M,0, M, M
15-Nov-2010, M,0, M, M
16-Nov-2010, M,0, M, M
17-Nov-2010, M,0, M, M
18-Nov-2010, M,0, M, M
19-Nov-2010, M,0, M, M
20-Nov-2010, M,0, M, M
21-Nov-2010, M,0, M, M
22-Nov-2010, M,0, M, M
23-Nov-2010, M,0, M, M
24-Nov-2010, M,0, M, M
25-Nov-2010, M,0, M, M
26-Nov-2010, M,0, M, M
27-Nov-2010, M,0.8, M, M
28-Nov-2010, M,0.3, M, M
29-Nov-2010, M,0, M, M
30-Nov-2010, M,0.5,5, M
1-Dec-2010, M, M, M, M
2-Dec-2010, M, M, M, M
3-Dec-2010, M, M, M, M
4-Dec-2010, M, M, M, M
5-Dec-2010, M, M, M, M
6-Dec-2010, M, M, M, M
7-Dec-2010, M, M, M, M
8-Dec-2010, M, M, M, M
9-Dec-2010, M, M, M, M
10-Dec-2010, M, M, M, M
11-Dec-2010, M, M, M, M
12-Dec-2010, M, M, M, M
13-Dec-2010, M, M, M, M
14-Dec-2010, M, M, M, M
15-Dec-2010, M, M, M, M
16-Dec-2010, M, M, M, M
17-Dec-2010, M, M, M, M
18-Dec-2010, M, M, M, M
19-Dec-2010, M, M, M, M
20-Dec-2010, M, M, M, M
21-Dec-2010, M, M, M, M
22-Dec-2010, M, M, M, M
23-Dec-2010, M, M, M, M
24-Dec-2010, M, M, M, M
25-Dec-2010, M, M, M, M
26-Dec-2010, M, M, M, M
27-Dec-2010, M, M, M, M
28-Dec-2010, M, M, M, M
29-Dec-2010, M, M, M, M
30-Dec-2010, M, M, M, M
