Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1-Nov-1955, M,0, M, M
2-Nov-1955, M,0, M, M
3-Nov-1955, M,0, M, M
4-Nov-1955, M,0.8, M, M
5-Nov-1955, M,0.18, M, M
6-Nov-1955, M,0.2, M, M
7-Nov-1955, M,0.12, M, M
8-Nov-1955, M,0, M, M
9-Nov-1955, M,0, M, M
10-Nov-1955, M,0, M, M
11-Nov-1955, M,0.15, M, M
12-Nov-1955, M,0.19, M, M
13-Nov-1955, M,0, M, M
14-Nov-1955, M,0, M, M
15-Nov-1955, M,0.17, M, M
16-Nov-1955, M,0, M, M
17-Nov-1955, M,0.3, M, M
18-Nov-1955, M,0, M, M
19-Nov-1955, M,0, M, M
20-Nov-1955, M,0, M, M
21-Nov-1955, M,0, M, M
22-Nov-1955, M,0, M, M
23-Nov-1955, M,0, M, M
24-Nov-1955, M,0.09, M, M
25-Nov-1955, M,0, M, M
26-Nov-1955, M,0, M, M
27-Nov-1955, M,0, M, M
28-Nov-1955, M,0, M, M
29-Nov-1955, M,0.12, M, M
30-Nov-1955, M,0, M, M
1-Dec-1955, M,0, M, M
2-Dec-1955, M,0, M, M
3-Dec-1955, M,0, M, M
4-Dec-1955, M,0, M, M
5-Dec-1955, M,0.39, M, M
6-Dec-1955, M,0, M, M
7-Dec-1955, M,0, M, M
8-Dec-1955, M,0, M, M
9-Dec-1955, M,0, M, M
10-Dec-1955, M,0, M, M
11-Dec-1955, M,0, M, M
12-Dec-1955, M,0, M, M
13-Dec-1955, M,0, M, M
14-Dec-1955, M,0, M, M
15-Dec-1955, M,0.05, M, M
16-Dec-1955, M,0.19, M, M
17-Dec-1955, M,0, M, M
18-Dec-1955, M,0, M, M
19-Dec-1955, M,0, M, M
20-Dec-1955, M,0, M, M
21-Dec-1955, M,0, M, M
22-Dec-1955, M,0, M, M
23-Dec-1955, M,0, M, M
24-Dec-1955, M,0, M, M
25-Dec-1955, M,0.39, M, M
26-Dec-1955, M,0, M, M
27-Dec-1955, M,0, M, M
28-Dec-1955, M,0, M, M
29-Dec-1955, M,0, M, M
30-Dec-1955, M,0.06, M, M
31-Dec-1955, M,0, M, M
1-Jan-1956, M,0, M, M
2-Jan-1956, M,0, M, M
3-Jan-1956, M,0, M, M
4-Jan-1956, M,0.53, M, M
5-Jan-1956, M,0, M, M
6-Jan-1956, M,0, M, M
7-Jan-1956, M,0, M, M
8-Jan-1956, M,0.84, M, M
9-Jan-1956, M,0.19, M, M
10-Jan-1956, M,0.4, M, M
11-Jan-1956, M,0.26, M, M
12-Jan-1956, M,0.08, M, M
13-Jan-1956, M,0.48, M, M
14-Jan-1956, M,0.41, M, M
15-Jan-1956, M,0.08, M, M
16-Jan-1956, M,0.41, M, M
17-Jan-1956, M,0, M, M
18-Jan-1956, M,0, M, M
19-Jan-1956, M,0, M, M
20-Jan-1956, M,0, M, M
21-Jan-1956, M,0, M, M
22-Jan-1956, M,0, M, M
23-Jan-1956, M,0, M, M
