Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
27-Nov-2004,19.5, M, M, M
28-Nov-2004,24.5, M, M, M
29-Nov-2004,36, M, M, M
30-Nov-2004,29, M, M, M
1-Dec-2004,29,1.72, M, M
2-Dec-2004,33.5,1.71, M, M
3-Dec-2004,18.5,0.01, M, M
4-Dec-2004,9.5,0.02, M, M
5-Dec-2004,15,0.03, M, M
6-Dec-2004,16.5,0.02, M, M
7-Dec-2004,5.5,0, M, M
8-Dec-2004,9,0.36, M, M
9-Dec-2004,19,0.17, M, M
10-Dec-2004,18,0, M, M
11-Dec-2004,22,0.46, M, M
12-Dec-2004,28.5,0.24, M, M
13-Dec-2004,24,0.01, M, M
14-Dec-2004,23,0.04, M, M
15-Dec-2004,10.5,0.01, M, M
16-Dec-2004,6.5,0, M, M
17-Dec-2004,14,0.02, M, M
18-Dec-2004,14.5,0.07, M, M
19-Dec-2004,11.5,0.04, M, M
20-Dec-2004,22,0.03, M, M
21-Dec-2004,5.5,0.04, M, M
22-Dec-2004,1,0, M, M
23-Dec-2004,22.5,0.01, M, M
24-Dec-2004,37,1.3, M, M
25-Dec-2004,12.5,0.01, M, M
26-Dec-2004,5.5,0.02, M, M
27-Dec-2004,1,0.07, M, M
28-Dec-2004,-0.5,0.04, M, M
29-Dec-2004,5,0.01, M, M
30-Dec-2004,17.5,0, M, M
31-Dec-2004,15,0.01, M, M
1-Jan-2005,28.5,0.29, M, M
2-Jan-2005,18,0.02, M, M
3-Jan-2005,11.5,0.21, M, M
4-Jan-2005,21.5,0.01, M, M
5-Jan-2005,15,0.01, M, M
6-Jan-2005,4,0.01, M, M
7-Jan-2005,7,0.16, M, M
8-Jan-2005,20,0, M, M
9-Jan-2005,17.5,0, M, M
10-Jan-2005,13,0, M, M
11-Jan-2005,17.5,0.15, M, M
12-Jan-2005,7.5,0.01, M, M
13-Jan-2005,9,0.06, M, M
14-Jan-2005,31.5,0.17, M, M
15-Jan-2005,27,0.55, M, M
16-Jan-2005,8,0.01, M, M
17-Jan-2005,10.5,0.14, M, M
18-Jan-2005,-0.5,0.07, M,12
19-Jan-2005,-7.5,0.01, M, M
20-Jan-2005,-0.5,0.39, M, M
21-Jan-2005,-2.5,0.13, M, M
22-Jan-2005,-11.5,0.02, M, M
23-Jan-2005,-11,0.02, M, M
24-Jan-2005,-6.5,0, M, M
25-Jan-2005,0.5,0.02, M, M
26-Jan-2005,0.5,0.01, M, M
27-Jan-2005,-6.5,0.02, M, M
28-Jan-2005,-7.5,0.01, M, M
29-Jan-2005,-2,0, M, M
30-Jan-2005,10.5,0, M, M
31-Jan-2005,13,0, M, M
1-Feb-2005,9,0, M, M
2-Feb-2005,18.5,0, M, M
3-Feb-2005,25,0.01, M, M
4-Feb-2005,27,0, M, M
5-Feb-2005,29.5,0, M, M
6-Feb-2005,31.5,0, M, M
7-Feb-2005,32,0, M, M
8-Feb-2005,34,0, M, M
9-Feb-2005,39,0.42, M, M
10-Feb-2005,28,0, M, M
11-Feb-2005,20,0.55, M, M
12-Feb-2005,15.5,0.06, M, M
13-Feb-2005,17.5,0.02, M, M
14-Feb-2005,11.5,0, M, M
15-Feb-2005,17,0.12, M,20
16-Feb-2005,33.5,0.26, M, M
17-Feb-2005,29.5,0.26, M, M
18-Feb-2005,16,0.01, M, M
19-Feb-2005,9.5,0.02, M, M
20-Feb-2005,2.5,0.01, M, M
21-Feb-2005,-2.5,0, M, M
22-Feb-2005,1.5,0.02, M, M
23-Feb-2005,12.5,0.06, M, M
24-Feb-2005,11,0.06, M, M
25-Feb-2005,8.5,0.01, M, M
26-Feb-2005,8,0.01, M, M
27-Feb-2005,10.5,0.01, M, M
28-Feb-2005,12,0, M,19
1-Mar-2005,17.5,0, M, M
2-Mar-2005,18.5,0.27, M, M
3-Mar-2005,17,0.09, M, M
4-Mar-2005,9,0.01, M, M
5-Mar-2005,12.5,0, M, M
6-Mar-2005,17,0, M, M
7-Mar-2005, M,0.07, M,25
8-Mar-2005,23,0.16, M, M
9-Mar-2005,20.5,1.33, M, M
10-Mar-2005,3,0.07, M, M
11-Mar-2005,5,0.01, M, M
12-Mar-2005,12.5,0.06, M, M
13-Mar-2005,16.5,0.06, M, M
14-Mar-2005,20.5,0.01, M, M
15-Mar-2005,24,0.13, M,32
16-Mar-2005,30.5,0.06, M, M
17-Mar-2005,28,0.01, M, M
18-Mar-2005,28,0, M, M
19-Mar-2005,28.5,0.11, M, M
20-Mar-2005,29.5,0, M, M
21-Mar-2005,29.5,0.01, M,28
22-Mar-2005,28.5,0.01, M, M
23-Mar-2005,33.5,0.01, M, M
24-Mar-2005,31,0.01, M, M
25-Mar-2005,33,0.02, M, M
26-Mar-2005,24.5,0.02, M, M
27-Mar-2005,25.5,0.01, M, M
28-Mar-2005,33.5,0.01, M,30
29-Mar-2005,32,0.89, M, M
30-Mar-2005,35,0.01, M, M
31-Mar-2005,36,0, M, M
1-Apr-2005,38,0.01, M, M
2-Apr-2005,31.5,0.14, M, M
3-Apr-2005,34.5,0.58, M, M
4-Apr-2005,38.5,0.94, M,15
5-Apr-2005,36,0.1, M,15
6-Apr-2005,38.5,0, M, M
7-Apr-2005,42.5,0.01, M, M
8-Apr-2005,32.5,0.1, M, M
9-Apr-2005,38,0.01, M, M
10-Apr-2005,38,0.01, M, M
11-Apr-2005,35,0.01, M, M
12-Apr-2005,30.5,0.06, M, M
13-Apr-2005,27.5,0.18, M, M
14-Apr-2005,34,0.01, M, M
15-Apr-2005,32,0.01, M, M
16-Apr-2005,37.5,0.01, M, M
17-Apr-2005,48,0.01, M, M
18-Apr-2005,51.5,0.02, M, M
19-Apr-2005,46,0.02, M,0
20-Apr-2005,54.5,0.01, M, M
21-Apr-2005,43,0.01, M, M
22-Apr-2005,35,0.01, M, M
23-Apr-2005,42.5,0, M, M
24-Apr-2005,37.5,0.28, M, M
25-Apr-2005,47,1.13, M, M
26-Apr-2005,43,0.25, M, M
27-Apr-2005,45,0.01, M, M
28-Apr-2005,48.5,0.47, M, M
29-Apr-2005,35.5,1.88, M, M
30-Apr-2005,37,0.28, M, M
1-May-2005,46.5,0.4, M, M
2-May-2005,44,0.08, M, M
3-May-2005,46.5,0.03, M, M
4-May-2005,44,0.01, M, M
5-May-2005,44.5,0.01, M, M
6-May-2005,49,0.01, M, M
7-May-2005,52.5,0.01, M, M
8-May-2005,42.5,0.24, M, M
9-May-2005,41.5,0.08, M, M
10-May-2005,54,0.01, M, M
11-May-2005,57.5,0.01, M, M
12-May-2005,54,0.04, M, M
13-May-2005,35,0.1, M, M
14-May-2005,37.5,0.04, M, M
15-May-2005, M,0.43, M, M
16-May-2005, M,0.43, M, M
17-May-2005,42,0.28, M, M
18-May-2005,48,0, M, M
19-May-2005,46.5,0.02, M, M
20-May-2005,50,0.01, M, M
21-May-2005,45,0.02, M, M
22-May-2005,43,0.08, M, M
23-May-2005,43,0.34, M, M
24-May-2005,46.5,0.17, M, M
25-May-2005,47.5,0.02, M, M
26-May-2005,49.5,0.15, M, M
27-May-2005,45.5,0.64, M, M
28-May-2005, M,0, M, M
29-May-2005,53.5,0.04, M, M
30-May-2005,53.5,0.08, M, M
31-May-2005,52.5,0.04, M, M
1-Jun-2005,57,0, M, M
2-Jun-2005,61.5,0, M, M
3-Jun-2005,68.5,0, M, M
4-Jun-2005,72.5,0, M, M
5-Jun-2005,66.5,0.18, M, M
6-Jun-2005,58.5,0.05, M, M
7-Jun-2005,48.5,0.24, M, M
8-Jun-2005,62,0, M, M
9-Jun-2005,57,0, M, M
10-Jun-2005,67,0, M, M
11-Jun-2005,71,0, M, M
12-Jun-2005,70,0.03, M, M
13-Jun-2005,72.5,0.07, M, M
14-Jun-2005,67.5,0.26, M, M
15-Jun-2005,50,0.18, M, M
16-Jun-2005,49,0.32, M, M
17-Jun-2005,49,0.03, M, M
18-Jun-2005,47.5,0.26, M, M
19-Jun-2005,47,0.07, M, M
20-Jun-2005,59,0, M, M
21-Jun-2005,69,0, M, M
22-Jun-2005,69.5,0.02, M, M
23-Jun-2005,54,0.02, M, M
24-Jun-2005,62.5,0, M, M
25-Jun-2005,69,0, M, M
26-Jun-2005,78,0, M, M
27-Jun-2005,70.5,0, M, M
28-Jun-2005,71.5,0.01, M, M
29-Jun-2005,73.5,0, M, M
30-Jun-2005, M,0.03, M, M
1-Jul-2005, M,0.01, M, M
2-Jul-2005, M,0.07, M, M
3-Jul-2005, M,0.01, M, M
4-Jul-2005, M,0, M, M
5-Jul-2005, M,0, M, M
6-Jul-2005, M,0.64, M, M
7-Jul-2005,55.5,0, M, M
8-Jul-2005,63,0, M, M
9-Jul-2005,67.5,0.01, M, M
10-Jul-2005,60.5,0.97, M, M
11-Jul-2005,69.5,0.26, M, M
12-Jul-2005,69.5,0.09, M, M
13-Jul-2005,66.5,0, M, M
14-Jul-2005,67,0.36, M, M
15-Jul-2005,63,0.7, M, M
16-Jul-2005,70,0, M, M
17-Jul-2005,72.5,0, M, M
18-Jul-2005,76.5,0, M, M
19-Jul-2005,75,0, M, M
20-Jul-2005,77,0.21, M, M
21-Jul-2005,70.5,0, M, M
22-Jul-2005,72.5,0, M, M
23-Jul-2005,68.5,0.85, M, M
24-Jul-2005,63.5,0.23, M, M
25-Jul-2005,62,0.01, M, M
26-Jul-2005,62.5,0.12, M, M
27-Jul-2005,73,0.04, M, M
