Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
26-Oct-2019,46.5,0.03,0,0
27-Oct-2019, M, M, M, M
28-Oct-2019, M, M, M, M
29-Oct-2019, M, M, M, M
30-Oct-2019,48.5,0.02,0,0
31-Oct-2019, M, M, M, M
1-Nov-2019, M, M, M, M
2-Nov-2019, M, M, M, M
3-Nov-2019, M, M, M, M
4-Nov-2019, M, M, M, M
5-Nov-2019, M, M, M, M
6-Nov-2019,41.5,0.29,0,0
7-Nov-2019,37.5, T, T,0
8-Nov-2019,31.5,0.5,0.3,0
9-Nov-2019,21,0.04,0.4,0
10-Nov-2019,28,0,0,0
11-Nov-2019,35.5,0,0,0
12-Nov-2019,29,0.43,2,2
13-Nov-2019,20,0.14,1.2,3
14-Nov-2019,12,0,0,3
15-Nov-2019,18.5,0.01,0.7,4
16-Nov-2019,25, T,0,4
17-Nov-2019,19.5,0,0,4
18-Nov-2019,20,0,0,3
19-Nov-2019,23,0.59,0,3
20-Nov-2019,32, T, T,2
21-Nov-2019,31.5,0,0,2
22-Nov-2019,30.5,0.01,0,2
23-Nov-2019,28.5,0.09,0,1
24-Nov-2019,25,0,0,1
25-Nov-2019,25.5,0.11,1,2
26-Nov-2019,33.5,0,0,1
27-Nov-2019,36,0,0,1
28-Nov-2019,30.5,1.25,12.2,13
29-Nov-2019,32, T,0,12
30-Nov-2019,24.5,0,0,11
1-Dec-2019,15,0,0,6
2-Dec-2019,16,0,0,6
3-Dec-2019,20,0.17,2,8
4-Dec-2019,19.5,0.71,9,17
5-Dec-2019,20,0,0,17
6-Dec-2019,21.5,0,0,17
7-Dec-2019,13,0,0,10
8-Dec-2019,7,0,0,10
9-Dec-2019,20,0.04,0,9
10-Dec-2019,41,0.82,0,2
11-Dec-2019,37,0.01,0,1
12-Dec-2019,17.5,0,0,0
13-Dec-2019,15,0,0,0
14-Dec-2019,27,0.28,0,0
15-Dec-2019,44.5,0.86,0,0
16-Dec-2019,27,0,0,0
17-Dec-2019,17,0,0,0
18-Dec-2019,20,0.01,1.1,1
19-Dec-2019,16.5,0.1,4.1,5
20-Dec-2019,7,0,0,5
21-Dec-2019,8,0,0,4
22-Dec-2019,9,0,0,4
23-Dec-2019,21.5,0,0,3
24-Dec-2019,31,0,0,3
25-Dec-2019,24,0,0,3
26-Dec-2019,22.5,0,0,3
27-Dec-2019,17, T,0,2
28-Dec-2019,22.5,0.24,0,2
29-Dec-2019,35,0,0,1
30-Dec-2019,26,0,0,1
