Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
7-Dec-2009,26,0,0,1
8-Dec-2009,23.5,0,0,1
9-Dec-2009,20,0,0,1
10-Dec-2009,24,0.8,8,8
11-Dec-2009,28,0,0,7
12-Dec-2009,16.5,0,0,5
13-Dec-2009,9,0,0,5
14-Dec-2009,16,0.23,3,7
15-Dec-2009,29,0.06,0.5,7
16-Dec-2009,26.5,0.08,0.5,8
17-Dec-2009,5.5,0,0,7
18-Dec-2009,0,0,0,7
19-Dec-2009,9,0,0,6
20-Dec-2009,10.5,0,0,6
21-Dec-2009,18,0,0,6
22-Dec-2009,18.5,0,0,6
23-Dec-2009,15.5,0.3,2,7
24-Dec-2009,22,0.24,3,11
25-Dec-2009,28.5,0,0,11
26-Dec-2009,24.5, T, T,11
27-Dec-2009,25, T,0.1,11
28-Dec-2009,32.5,0.78,0,6
29-Dec-2009,31,0.49,5,12
30-Dec-2009,12, T, T,6
31-Dec-2009,4,0,0,7
1-Jan-2010,9.5,0.16,2,8
2-Jan-2010,20.5,0.07,2,10
3-Jan-2010,26.5,0.77,7,15
4-Jan-2010,27.5,0.07,0,12
5-Jan-2010,31.5, T, T,11
6-Jan-2010,31,0,0,10
7-Jan-2010,27,0,0,10
8-Jan-2010,22.5,0,0,10
9-Jan-2010,21,0,0,10
10-Jan-2010,10,0,0,10
11-Jan-2010,10,0,0,10
12-Jan-2010,18.5,0,0,10
13-Jan-2010,9.5,0,0,10
14-Jan-2010,2,0,0,10
15-Jan-2010,10,0,0,10
16-Jan-2010,29.5, T, T,10
17-Jan-2010,22.5,0,0,10
18-Jan-2010,14,0,0,10
19-Jan-2010,23,0.04,0.5,10
20-Jan-2010,23.5, M, M,13
21-Jan-2010,18, M, M,14
22-Jan-2010,18.5,0,0,14
23-Jan-2010,11.5,0,0,13
24-Jan-2010,10.5,0,0,13
25-Jan-2010,23, T,0,13
26-Jan-2010,39, M, M,4
27-Jan-2010,34.5,0.03,0.5,3
28-Jan-2010,31.5,0,0,3
29-Jan-2010,22,0.1,1,4
30-Jan-2010,5,0,0,4
31-Jan-2010,7,0,0,4
1-Feb-2010,8.5, T, T,4
2-Feb-2010,7.5,0,0,4
3-Feb-2010,2,0,0,4
4-Feb-2010,7.5,0,0,3
5-Feb-2010,13.5,0,0,3
6-Feb-2010,6.5,0,0,3
7-Feb-2010,10.5,0,0,3
8-Feb-2010,18.5, T, T,3
9-Feb-2010,23, M, M,3
10-Feb-2010,25.5,0,0,3
11-Feb-2010,24,0,0,2
12-Feb-2010,30,0,0,2
13-Feb-2010,28,0,0,2
14-Feb-2010,24.5,0,0,2
15-Feb-2010,27, T, T,2
16-Feb-2010,24.5,0,0,2
17-Feb-2010,27.5,0,0,2
18-Feb-2010,29.5,0.01,0.5,2
19-Feb-2010,34,0,0,2
20-Feb-2010,31,0,0,2
21-Feb-2010,33.5,0,0,2
22-Feb-2010,31,0.02,0.5,2
23-Feb-2010,34.5, T, T,0
24-Feb-2010,35,0.09,0.5,2
25-Feb-2010,33, M, M,1
26-Feb-2010,32, M, M,3
27-Feb-2010,33.5,0.49,1.5,4
28-Feb-2010,34,0.27,1.3,5
1-Mar-2010,35.5,0.16,0.5,5
