Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1-Dec-1944,33.5, T, T,1
2-Dec-1944,21,0,0,1
3-Dec-1944,16, T, T,1
4-Dec-1944,22,0,0,1
5-Dec-1944,28.5,0,0,1
6-Dec-1944,25,0,0,1
7-Dec-1944,28.5,0,0, T
8-Dec-1944,28,0,0, T
9-Dec-1944,33.5,0.8, T, T
10-Dec-1944,32, T, T, T
11-Dec-1944,27.5, T, T, T
12-Dec-1944,25,0.3,2,2
13-Dec-1944,28.5,0.06,2,4
14-Dec-1944,22.5, T, T,4
15-Dec-1944,20.5,0,0,4
16-Dec-1944,24.5, T, T,4
17-Dec-1944,26, T, T,4
18-Dec-1944,20, T, T,4
19-Dec-1944,4,0,0,4
20-Dec-1944,8, T, T,4
21-Dec-1944,15,0.1,1,5
22-Dec-1944,2,0,0,5
23-Dec-1944,2.5, T, T,5
24-Dec-1944,11,0.3,3,8
25-Dec-1944,4.5,0.25,2.5,11
26-Dec-1944,19,0.42,4.5,15
27-Dec-1944,4.5,0,0,15
28-Dec-1944,13,0.71,7.5,23
29-Dec-1944,5,0,0,15
30-Dec-1944,2.5,0,0,15
31-Dec-1944,9.5,0.04, T,15
1-Jan-1945,35,1.57,2,14
2-Jan-1945,37.5,0.35, T,2
3-Jan-1945,12.5,0,0,2
4-Jan-1945,13.5,0.19,3,5
5-Jan-1945,18.5, T, T,5
6-Jan-1945,-0.5, T, T,3
7-Jan-1945,-13,0.03, T,3
8-Jan-1945,9,0.13,3,6
9-Jan-1945,11, T, T,6
10-Jan-1945,9,0,0,4
11-Jan-1945,-7.5,0,0,3
12-Jan-1945,-3,0.41,6,9
13-Jan-1945,19,0.01, T,9
14-Jan-1945,5,0.03,1,10
15-Jan-1945,13,0.2,5,15
16-Jan-1945,3,0.03,1,16
17-Jan-1945,12.5,0.11,7,23
18-Jan-1945,16,0.04,2,25
19-Jan-1945,15.5,0,0,20
20-Jan-1945,15,0,0,20
21-Jan-1945,12,0,0,20
22-Jan-1945,14, T, T,18
23-Jan-1945,24.5,0.11,1,19
24-Jan-1945,15, T, T,19
25-Jan-1945,-3.5,0,0,19
26-Jan-1945,-1.5,0.07, T,19
27-Jan-1945,9.5, T, T,18
28-Jan-1945,15.5, T, T,18
29-Jan-1945,14.5,0.27,6,24
30-Jan-1945,20.5,0.28,5,29
31-Jan-1945,13, T, T,29
1-Feb-1945,14, T, T,29
2-Feb-1945,13.5, T, T,29
3-Feb-1945,20.5,0,0,28
4-Feb-1945,13,0,0,28
5-Feb-1945,16.5,0.13,1,27
6-Feb-1945,20.5,0,0,27
7-Feb-1945,21.5, T, T,27
8-Feb-1945,10.5, T, T,27
9-Feb-1945,16,0.1,5,32
10-Feb-1945,17, T, T,32
11-Feb-1945,29.5,0.49,6,38
12-Feb-1945,21,0,0,37
13-Feb-1945,18.5,0,0,36
14-Feb-1945,10.5,0,0,36
15-Feb-1945,10.5,0,0,35
16-Feb-1945,13,0.25,5,40
17-Feb-1945,20,0,0,40
18-Feb-1945,4,0,0,36
19-Feb-1945,14,0,0,36
20-Feb-1945,15.5,0,0,36
21-Feb-1945,20,0,0,34
22-Feb-1945,21,0.61, T,18
23-Feb-1945,33,0.05, T,15
24-Feb-1945,24, T, T,15
25-Feb-1945,22.5, T, T,14
26-Feb-1945,12.5,0.13, T,14
27-Feb-1945,26,0.47,1,15
28-Feb-1945,22.5,0,0,15
1-Mar-1945,27.5,0,0,15
2-Mar-1945,30, T, T,14
3-Mar-1945,34,0.09,0,14
4-Mar-1945,27.5,0,0,14
5-Mar-1945,19.5,0,0,14
6-Mar-1945,32.5,0.3, T,12
7-Mar-1945,22.5,0,0,12
8-Mar-1945,24,0,0,11
9-Mar-1945,23,0,0,11
10-Mar-1945,23.5,0,0,11
11-Mar-1945,14.5,0,0,11
12-Mar-1945,13, T, T,10
13-Mar-1945,42,0.25,3,13
14-Mar-1945,27.5,0,0,12
15-Mar-1945,44,0,0,9
16-Mar-1945,32.5, T,0,7
17-Mar-1945,35.5,0,0,6
18-Mar-1945,44,0.08,0,5
19-Mar-1945,44,0,0,3
20-Mar-1945,34.5,0.3,0,1
21-Mar-1945,33.5,0.09, T,1
22-Mar-1945,30,0.09,3,4
23-Mar-1945,31.5,0.1,2,6
24-Mar-1945,41.5, T, T,6
25-Mar-1945,32.5,0,0,1
26-Mar-1945,46.5,0,0,0
27-Mar-1945,45.5,0,0,0
28-Mar-1945,49,0.06,0,0
29-Mar-1945,55,0,0,0
30-Mar-1945,51.5,0.03,0,0
31-Mar-1945,53,0.02,0,0
1-Apr-1945,47,0.03,0,0
2-Apr-1945,48.5,0.17,0,0
3-Apr-1945,36.5,0.05, T,0
4-Apr-1945,33,0.2, T,0
5-Apr-1945,37,0.87, T,0
6-Apr-1945,31, T, T,0
7-Apr-1945,34.5,0,0,0
8-Apr-1945,48,0,0,0
9-Apr-1945,51,0,0,0
10-Apr-1945,58,0,0,0
11-Apr-1945,58.5,0,0,0
12-Apr-1945,60,0,0,0
13-Apr-1945,61,0,0,0
14-Apr-1945,48, T,0,0
15-Apr-1945,34,0,0,0
16-Apr-1945,37.5, T,0,0
17-Apr-1945,43.5,0.23,0,0
18-Apr-1945,55.5,0.34,0,0
19-Apr-1945,39.5, T,0,0
20-Apr-1945,45,0,0,0
21-Apr-1945,47,0,0,0
22-Apr-1945,35.5,0.01, T,0
23-Apr-1945,36.5,0,0,0
24-Apr-1945,45,0,0,0
25-Apr-1945,41,0.95,0,0
26-Apr-1945,41,0.46,0,0
27-Apr-1945,41.5,1.24,0,0
28-Apr-1945,42,0.35,0,0
29-Apr-1945,48,0.01,0,0
30-Apr-1945,40, T,0,0
