Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1-Jun-1916, M,0,0, M
2-Jun-1916, M,0,0, M
3-Jun-1916, M,0.3,0, M
4-Jun-1916, M,0,0, M
5-Jun-1916, M,0,0, M
6-Jun-1916, M,0,0, M
7-Jun-1916, M,0.13,0, M
8-Jun-1916, M,0.72,0, M
9-Jun-1916, M,0.1,0, M
10-Jun-1916, M,0.35,0, M
11-Jun-1916, M,0,0, M
12-Jun-1916, M,0,0, M
13-Jun-1916, M,0,0, M
14-Jun-1916, M,0,0, M
15-Jun-1916, M,0.42,0, M
16-Jun-1916, M,0,0, M
17-Jun-1916, M,0,0, M
18-Jun-1916, M,0,0, M
19-Jun-1916, M,0,0, M
20-Jun-1916, M,0.34,0, M
21-Jun-1916, M,0,0, M
22-Jun-1916, M,0,0, M
23-Jun-1916, M,0,0, M
24-Jun-1916, M,0.14,0, M
25-Jun-1916, M,0,0, M
26-Jun-1916, M,0,0, M
27-Jun-1916, M,0,0, M
28-Jun-1916, M,0,0, M
29-Jun-1916, M,0,0, M
30-Jun-1916, M,0,0, M
1-Jul-1916,75.5,0, M, M
2-Jul-1916,73.5,0.85, M, M
3-Jul-1916,72, T, M, M
4-Jul-1916,66.5,0, M, M
5-Jul-1916,65,0, M, M
6-Jul-1916,64,0, M, M
7-Jul-1916,69.5,0, M, M
8-Jul-1916,69.5,0, M, M
9-Jul-1916,74.5,0.38, M, M
10-Jul-1916,72.5,0.04, M, M
11-Jul-1916,73.5,0, M, M
12-Jul-1916,76.5,0, M, M
13-Jul-1916,77,0, M, M
14-Jul-1916,76,0.5, M, M
15-Jul-1916,75, T, M, M
16-Jul-1916,72,0.15, M, M
17-Jul-1916,73,0.75, M, M
18-Jul-1916,74.5,0.16, M, M
19-Jul-1916,71,0, M, M
20-Jul-1916,75.5,0, M, M
21-Jul-1916,76,0, M, M
22-Jul-1916,73.5, T, M, M
23-Jul-1916,75,0, M, M
24-Jul-1916,73,0, M, M
25-Jul-1916,72.5,0.62, M, M
26-Jul-1916,73.5, T, M, M
27-Jul-1916,76,0, M, M
28-Jul-1916,74, T, M, M
29-Jul-1916,75.5,0, M, M
30-Jul-1916,73,0, M, M
31-Jul-1916,76,0, M, M
1-Aug-1916,71,0,0, M
2-Aug-1916,67,0,0, M
3-Aug-1916,71.5,0,0, M
4-Aug-1916,77.5,0.43,0, M
5-Aug-1916,75,0.27,0, M
6-Aug-1916,73.5, T,0, M
7-Aug-1916,78.5,0.07,0, M
8-Aug-1916,79, T,0, M
9-Aug-1916,78,0.25,0, M
10-Aug-1916,76.5,0.01,0, M
11-Aug-1916,72, T,0, M
12-Aug-1916,76,0.1,0, M
13-Aug-1916,70.5,0.07,0, M
14-Aug-1916,59.5,0,0, M
15-Aug-1916,60.5,0,0, M
16-Aug-1916,74,0.22,0, M
17-Aug-1916,75.5,0,0, M
18-Aug-1916,71,0,0, M
19-Aug-1916,70.5,0,0, M
20-Aug-1916,71.5,0,0, M
21-Aug-1916,74.5, T,0, M
22-Aug-1916,77.5,0.47,0, M
23-Aug-1916,72,0.01,0, M
24-Aug-1916,67.5,0,0, M
25-Aug-1916,65.5,0,0, M
26-Aug-1916,65,0,0, M
27-Aug-1916,69.5,0,0, M
28-Aug-1916,67,0,0, M
29-Aug-1916,62.5,0,0, M
30-Aug-1916,68,0,0, M
31-Aug-1916,66,0,0, M
1-Sep-1916,68,0,0, M
2-Sep-1916,73,0.18,0, M
3-Sep-1916,62.5,0,0, M
4-Sep-1916,63.5,0,0, M
5-Sep-1916,71,0,0, M
6-Sep-1916,71.5,0.16,0, M
7-Sep-1916,74.5,0,0, M
8-Sep-1916,75.5, T,0, M
9-Sep-1916,68.5,0.08,0, M
10-Sep-1916,59,0,0, M
11-Sep-1916,60,0,0, M
12-Sep-1916,56.5,0,0, M
13-Sep-1916,66.5,0,0, M
14-Sep-1916,73.5,0.08,0, M
15-Sep-1916,72.5,1.37,0, M
16-Sep-1916,54,0,0, M
17-Sep-1916,54,0,0, M
18-Sep-1916,59,0,0, M
19-Sep-1916,49,0,0, M
20-Sep-1916,51,0,0, M
21-Sep-1916,56,0,0, M
22-Sep-1916,62.5,0.88,0, M
23-Sep-1916,60,0,0, M
24-Sep-1916,53,0,0, M
25-Sep-1916,54,0,0, M
26-Sep-1916,59.5,0,0, M
27-Sep-1916,61.5,0,0, M
28-Sep-1916,63.5,0,0, M
29-Sep-1916,62.5,1.85,0, M
30-Sep-1916,46,0,0, M
1-Oct-1916,48,0,0, M
2-Oct-1916,46.5,0,0, M
3-Oct-1916,54,0,0, M
4-Oct-1916,56,0,0, M
5-Oct-1916,61.5,0,0, M
6-Oct-1916,65,0,0, M
7-Oct-1916,67,0,0, M
8-Oct-1916,67.5,0,0, M
9-Oct-1916,68,0.04,0, M
10-Oct-1916,57,0,0, M
11-Oct-1916,45,0,0, M
12-Oct-1916,49,0,0, M
13-Oct-1916,50, T,0, M
14-Oct-1916,49,0,0, M
15-Oct-1916,45.5,0,0, M
16-Oct-1916,64.5, T,0, M
17-Oct-1916,65,0,0, M
18-Oct-1916,42.5, T,0, M
19-Oct-1916,57,0.9,0, M
20-Oct-1916,65, T,0, M
21-Oct-1916,51,0,0, M
22-Oct-1916,44,0,0, M
23-Oct-1916,43,0,0, M
24-Oct-1916,47.5,0,0, M
25-Oct-1916,49.5,0,0, M
