Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
14-Oct-1938, M,0.05, M, M
15-Oct-1938, M, M, M, M
16-Oct-1938, M, M, M, M
17-Oct-1938, M, M, M, M
18-Oct-1938, M, M, M, M
19-Oct-1938, M, M, M, M
20-Oct-1938, M, T, M, M
21-Oct-1938, M,0.37, M, M
22-Oct-1938, M, M, M, M
23-Oct-1938, M, M, M, M
24-Oct-1938, M,0.05, M, M
25-Oct-1938, M,0.04, M, M
26-Oct-1938, M, M, M, M
27-Oct-1938, M, M, M, M
28-Oct-1938, M, M, M, M
29-Oct-1938, M,0.34, M, M
30-Oct-1938, M,0.07, M, M
31-Oct-1938, M, M, M, M
1-Nov-1938, M,0,0, M
2-Nov-1938, M,0,0, M
3-Nov-1938, M,0,0, M
4-Nov-1938, M,0,0, M
5-Nov-1938, M,0.05,0, M
6-Nov-1938, M,0.59,0, M
7-Nov-1938, M,0,0, M
8-Nov-1938, M,0,0, M
9-Nov-1938, M,0.12,0, M
10-Nov-1938, M,0,0, M
11-Nov-1938, M,0,0, M
12-Nov-1938, M,0,0, M
13-Nov-1938, M,0,0, M
14-Nov-1938, M, T,0, M
15-Nov-1938, M,0,0, M
16-Nov-1938, M,0,0, M
17-Nov-1938, M,0.04,0, M
18-Nov-1938, M, T,0, M
19-Nov-1938, M,0.07,0, M
20-Nov-1938, M,0.27,0, M
21-Nov-1938, M,0,0, M
22-Nov-1938, M,0,0, M
23-Nov-1938, M,0,0, M
24-Nov-1938, M,0.11,0, M
25-Nov-1938, M,0.66,8,8
26-Nov-1938, M,0,0,6
27-Nov-1938, M,0,0,6
28-Nov-1938, M,0,0,6
29-Nov-1938, M,0,0,5
30-Nov-1938, M,0,0, M
1-Dec-1938, M,0, M, M
2-Dec-1938, M,0,0,0
3-Dec-1938, M,0,0, M
4-Dec-1938, M,0.06,0, M
5-Dec-1938, M,0,0, M
6-Dec-1938, M,0.06,0, M
7-Dec-1938, M,0,0, M
8-Dec-1938, M,0,0, M
9-Dec-1938, M,0.03,0, M
10-Dec-1938, M,1.04,0, M
11-Dec-1938, M,0,0, M
12-Dec-1938, M,0.03,0, M
13-Dec-1938, M,0,0, M
14-Dec-1938, M,0,0, M
15-Dec-1938, M,0,0, M
16-Dec-1938, M,0,0, M
17-Dec-1938, M,0,0, M
