Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
30-May-2009, M,0,0, M
31-May-2009, M,0.77, M, M
1-Jun-2009, M,0,0, M
2-Jun-2009, M, M, M, M
3-Jun-2009, M,0.27, M, M
4-Jun-2009, M, M, M, M
5-Jun-2009, M,1.21, M, M
6-Jun-2009, M,0.28, M, M
7-Jun-2009, M,0,0, M
8-Jun-2009, M,0,0, M
9-Jun-2009, M,0.01, M, M
10-Jun-2009, M, M, M, M
11-Jun-2009, M,0.21, M, M
12-Jun-2009, M,0.21, M, M
13-Jun-2009, M,0.14, M, M
14-Jun-2009, M,0,0, M
15-Jun-2009, M,0,0, M
16-Jun-2009, M,0,0, M
17-Jun-2009, M,0.11, M, M
18-Jun-2009, M,0.41, M, M
19-Jun-2009, M, M, M, M
20-Jun-2009, M, M, M, M
21-Jun-2009, M, M, M, M
22-Jun-2009, M, M, M, M
23-Jun-2009, M,0,0, M
24-Jun-2009, M, M, M, M
25-Jun-2009, M,0,0, M
26-Jun-2009, M, M, M, M
27-Jun-2009, M, M, M, M
28-Jun-2009, M, M, M, M
29-Jun-2009, M, M, M, M
30-Jun-2009, M, M, M, M
1-Jul-2009, M, M, M, M
2-Jul-2009, M,0.1, M, M
3-Jul-2009, M, M, M, M
4-Jul-2009, M, M, M, M
5-Jul-2009, M,0.02, M, M
6-Jul-2009, M, M, M, M
7-Jul-2009, M, M, M, M
8-Jul-2009, M, M, M, M
9-Jul-2009, M, M, M, M
10-Jul-2009, M, M, M, M
11-Jul-2009, M, M, M, M
12-Jul-2009, M,1.97, M, M
13-Jul-2009, M, M, M, M
14-Jul-2009, M, M, M, M
15-Jul-2009, M, M, M, M
16-Jul-2009, M, M, M, M
17-Jul-2009, M, M, M, M
18-Jul-2009, M,1.31, M, M
19-Jul-2009, M, M, M, M
20-Jul-2009, M, M, M, M
21-Jul-2009, M,0.08, M, M
22-Jul-2009, M,0.28, M, M
23-Jul-2009, M,0.79, M, M
24-Jul-2009, M, M, M, M
25-Jul-2009, M, M, M, M
26-Jul-2009, M,0.91, M, M
27-Jul-2009, M,0.49, M, M
28-Jul-2009, M, M, M, M
29-Jul-2009, M,0.22, M, M
30-Jul-2009, M,0.14, M, M
31-Jul-2009, M, M, M, M
1-Aug-2009, M,0.37, M, M
2-Aug-2009, M,0.03, M, M
3-Aug-2009, M,0.31, M, M
4-Aug-2009, M, M, M, M
5-Aug-2009, M,0.27, M, M
6-Aug-2009, M,0.92, M, M
7-Aug-2009, M,0.18, M, M
8-Aug-2009, M, M, M, M
9-Aug-2009, M, M, M, M
10-Aug-2009, M, M, M, M
11-Aug-2009, M, M, M, M
12-Aug-2009, M, M, M, M
13-Aug-2009, M, M, M, M
14-Aug-2009, M, M, M, M
15-Aug-2009, M, M, M, M
16-Aug-2009, M, M, M, M
17-Aug-2009, M, M, M, M
18-Aug-2009, M, M, M, M
19-Aug-2009, M,0.23, M, M
20-Aug-2009, M,0.16, M, M
21-Aug-2009, M,0.02, M, M
22-Aug-2009, M,0.24, M, M
23-Aug-2009, M,0.08, M, M
24-Aug-2009, M,0.04, M, M
25-Aug-2009, M, M, M, M
26-Aug-2009, M, M, M, M
27-Aug-2009, M, M, M, M
28-Aug-2009, M, M, M, M
29-Aug-2009, M,0.01, M, M
30-Aug-2009, M, M, M, M
31-Aug-2009, M, M, M, M
1-Sep-2009, M, M, M, M
2-Sep-2009, M, M, M, M
3-Sep-2009, M, M, M, M
4-Sep-2009, M, M, M, M
5-Sep-2009, M, M, M, M
6-Sep-2009, M, M, M, M
7-Sep-2009, M, M, M, M
8-Sep-2009, M, M, M, M
9-Sep-2009, M,0,0, M
10-Sep-2009, M,0.01, M, M
11-Sep-2009, M, M, M, M
12-Sep-2009, M, M, M, M
13-Sep-2009, M, M, M, M
14-Sep-2009, M, M, M, M
15-Sep-2009, M, M, M, M
16-Sep-2009, M, M, M, M
17-Sep-2009, M, M, M, M
18-Sep-2009, M, M, M, M
19-Sep-2009, M, M, M, M
20-Sep-2009, M, M, M, M
21-Sep-2009, M,0,0, M
22-Sep-2009, M,0,0, M
23-Sep-2009, M,0.01, M, M
24-Sep-2009, M,0.15, M, M
25-Sep-2009, M,0.21, M, M
26-Sep-2009, M,0.16, M, M
27-Sep-2009, M,1.38, M, M
28-Sep-2009, M,0,0, M
29-Sep-2009, M,0.04, M, M
30-Sep-2009, M, M, M, M
1-Oct-2009, M,0,0, M
2-Oct-2009, M,0,0, M
3-Oct-2009, M, M, M, M
4-Oct-2009, M, M, M, M
5-Oct-2009, M, M, M, M
6-Oct-2009, M, M, M, M
7-Oct-2009, M, M, M, M
8-Oct-2009, M, M, M, M
9-Oct-2009, M,0.1, M, M
10-Oct-2009, M,0.05, M, M
11-Oct-2009, M, M, M, M
12-Oct-2009, M, M, M, M
13-Oct-2009, M, M, M, M
14-Oct-2009, M, M, M, M
15-Oct-2009, M,0.18, M, M
16-Oct-2009, M, M, M, M
17-Oct-2009, M,0.03, M, M
18-Oct-2009, M,0.15, M, M
19-Oct-2009, M, M, M, M
20-Oct-2009, M, M, M, M
21-Oct-2009, M, M, M, M
22-Oct-2009, M, M, M, M
23-Oct-2009, M, M, M, M
24-Oct-2009, M,0.48, M, M
25-Oct-2009, M,0.5, M, M
26-Oct-2009, M, M, M, M
27-Oct-2009, M, M, M, M
28-Oct-2009, M,0.8, M, M
29-Oct-2009, M, M, M, M
30-Oct-2009, M, M, M, M
31-Oct-2009, M, M, M, M
1-Nov-2009, M,0.4, M, M
2-Nov-2009, M,0.02, M, M
3-Nov-2009, M, M, M, M
4-Nov-2009, M, M, M, M
5-Nov-2009, M, M, M, M
6-Nov-2009, M, M, M, M
7-Nov-2009, M, M, M, M
8-Nov-2009, M, M, M, M
9-Nov-2009, M, M, M, M
10-Nov-2009, M, M, M, M
