Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1-Jan-1942,39,0.19, M, M
2-Jan-1942,37.5,0.01, M, M
3-Jan-1942, M, T, M, M
4-Jan-1942, M,0.42,3.5,4
5-Jan-1942, M, T, T,2
6-Jan-1942, M, M, M,2
7-Jan-1942, M, T,0.1, M
8-Jan-1942, M, M, M, M
9-Jan-1942, M, M, M, M
10-Jan-1942, M, M, M, M
11-Jan-1942, M, M, M, M
12-Jan-1942, M, M, M, M
13-Jan-1942, M, M, M, M
14-Jan-1942, M, M, M, M
15-Jan-1942, M, M, M, M
16-Jan-1942, M, M, M, M
17-Jan-1942, M, M, M, M
18-Jan-1942, M, M, M, M
19-Jan-1942, M,0.35, M, M
20-Jan-1942, M, T, M, M
21-Jan-1942, M, T, M, M
22-Jan-1942, M, T, M, M
23-Jan-1942, M, M, M, M
24-Jan-1942, M, M, M, M
25-Jan-1942, M, M, M, M
26-Jan-1942, M, M, M, M
27-Jan-1942, M, M, M, M
28-Jan-1942, M,0.27,2.5,3
29-Jan-1942,24, M, T,2
30-Jan-1942,23, M, M, M
31-Jan-1942,39.5,0.09, M, M
1-Feb-1942,34,0.03, T, M
2-Feb-1942,18.5,0.02, T, M
3-Feb-1942,13,0,0, M
4-Feb-1942,26,0,0, M
5-Feb-1942,40.5,0.09,1.2,1
6-Feb-1942,37.5,0.08,0, M
7-Feb-1942,35.5,0.51,0.7,1
8-Feb-1942,27.5,0.01, T, M
9-Feb-1942,23.5,0,0, M
10-Feb-1942,25, T, T, M
11-Feb-1942,32.5,0,0, M
12-Feb-1942,24.5,0.01,0.5,1
13-Feb-1942,22,0,0, M
14-Feb-1942,27,0,0, M
15-Feb-1942,37.5,0,0, M
16-Feb-1942,41, T,0, M
17-Feb-1942,47.5,0.34,0, M
18-Feb-1942,31,0,0, M
19-Feb-1942,24,0.03,0.3, T
20-Feb-1942,14.5,0,0, M
21-Feb-1942,19,0,0, M
22-Feb-1942,24,0,0, M
23-Feb-1942,25,0,0, M
24-Feb-1942,25,0,0, M
25-Feb-1942,28,0,0, M
26-Feb-1942,29,0,0, M
27-Feb-1942,24.5, T, T, T
28-Feb-1942,27, T, T, M
1-Mar-1942,37, M, M, M
2-Mar-1942,30, M, M, M
3-Mar-1942,43.5,1.9,19,19
4-Mar-1942,34, M, M,11
5-Mar-1942,36, M, M, M
6-Mar-1942,40.5, M, M, M
7-Mar-1942,41.5, M, M,9
8-Mar-1942,42.5, T, M,6
9-Mar-1942,44,0.23, T, M
10-Mar-1942,38, T, T, M
11-Mar-1942,46.5, M, M, M
12-Mar-1942,50.5, T, M, M
13-Mar-1942,40.5, M, M, M
14-Mar-1942,52.5,0.1, M, M
15-Mar-1942,52, M, M, M
16-Mar-1942,51.5, T, M, M
17-Mar-1942,59.5,0.13, M, M
18-Mar-1942,55.5, M, M, M
19-Mar-1942,40.5, T, T, M
20-Mar-1942,41, M, M, M
21-Mar-1942,46.5,0.04, M, M
22-Mar-1942,44.5, M, M, M
23-Mar-1942,39.5, M, M, M
24-Mar-1942,43, M, M, M
25-Mar-1942,45.5, M, M, M
26-Mar-1942,46, M, M, M
27-Mar-1942,43, M, M, M
28-Mar-1942,43,1.33,1,1
29-Mar-1942,31,0.17,2,3
30-Mar-1942,37.5, T, T, M
31-Mar-1942,38,0.09, M, M
1-Apr-1942,37.5,0, M, M
2-Apr-1942,44,0, M, M
3-Apr-1942,58,0, M, M
4-Apr-1942,57,0.1, M, M
5-Apr-1942,60.5,0, M, M
6-Apr-1942,66,0, M, M
7-Apr-1942,67,0, M, M
8-Apr-1942,64.5, T, M, M
9-Apr-1942,47.5,0.53, M, M
10-Apr-1942,42,0.35, M, M
11-Apr-1942,40,0.12, T, T
12-Apr-1942,36.5, T, T, M
13-Apr-1942,38,0, M, M
14-Apr-1942,44.5,0, M, M
15-Apr-1942,55.5,0, M, M
16-Apr-1942,59.5,0, M, M
17-Apr-1942,61, T, M, M
18-Apr-1942,49.5, T, M, M
19-Apr-1942,42.5,0, M, M
20-Apr-1942,40.5,0, M, M
21-Apr-1942,44.5,0, M, M
22-Apr-1942,47.5,0, M, M
23-Apr-1942,53,0, M, M
24-Apr-1942,57.5,0, M, M
25-Apr-1942,61,0, M, M
26-Apr-1942,63.5,0, M, M
27-Apr-1942,66.5,0, M, M
28-Apr-1942,58.5,0, M, M
29-Apr-1942,66,0.06, M, M
30-Apr-1942,66.5,0, M, M
1-May-1942,69,0, M, M
2-May-1942,66.5,0.85, M, M
3-May-1942,72, T, M, M
4-May-1942,69, T, M, M
5-May-1942,56.5,0, M, M
6-May-1942,55,0, M, M
7-May-1942,63,0.45, M, M
8-May-1942,53,0, M, M
9-May-1942,53.5, T, M, M
10-May-1942,52.5,0.03, M, M
11-May-1942,52,0, M, M
12-May-1942,63, T, M, M
13-May-1942,65.5,0.48, M, M
14-May-1942,62.5, T, M, M
15-May-1942,62,0.47, M, M
16-May-1942,64.5,1.99, M, M
17-May-1942,55,0, M, M
18-May-1942,59.5,0, M, M
19-May-1942,65,0.02, M, M
20-May-1942,63,0.65, M, M
21-May-1942,61.5,0.44, M, M
22-May-1942,63,1.79, M, M
23-May-1942,55,0, M, M
24-May-1942,54,0, M, M
25-May-1942,51.5,0, M, M
26-May-1942,55, T, M, M
27-May-1942,62,0.01, M, M
28-May-1942,64,0, M, M
29-May-1942,66.5,0, M, M
30-May-1942,74.5,0, M, M
31-May-1942,73,0, M, M
1-Jun-1942,72,0.55, M, M
2-Jun-1942,71.5,0.57, M, M
3-Jun-1942,70,0.01, M, M
4-Jun-1942,69.5,0.04, M, M
5-Jun-1942,71, T, M, M
6-Jun-1942,67.5,0, M, M
7-Jun-1942,72.5,0.35, M, M
8-Jun-1942,66.5,0.43, M, M
9-Jun-1942,69.5,0.01, M, M
10-Jun-1942,72,0.01, M, M
11-Jun-1942,75,0.02, M, M
12-Jun-1942,73.5, T, M, M
13-Jun-1942,70,0.56, M, M
14-Jun-1942,65.5,0.04, M, M
15-Jun-1942,59,0, M, M
16-Jun-1942,63.5,0, M, M
17-Jun-1942,62,0, M, M
18-Jun-1942,62,0, M, M
19-Jun-1942,66,0.11, M, M
20-Jun-1942,68,0, M, M
21-Jun-1942,70.5,0.19, M, M
22-Jun-1942,72,0.88, M, M
23-Jun-1942,67, T, M, M
24-Jun-1942,57.5,0, M, M
25-Jun-1942,60,0, M, M
26-Jun-1942,59.5,0.03, M, M
27-Jun-1942,64.5,0.25, M, M
28-Jun-1942,67,0, M, M
29-Jun-1942,67,0, M, M
30-Jun-1942,68,0, M, M
1-Jul-1942,70.5, T, M, M
2-Jul-1942,67.5,0.1, M, M
3-Jul-1942,65,0, M, M
4-Jul-1942,69,0, M, M
5-Jul-1942,68,0.1, M, M
6-Jul-1942,69,0.06, M, M
7-Jul-1942,65,0.14, M, M
8-Jul-1942,60, T, M, M
9-Jul-1942,65.5,0, M, M
10-Jul-1942,67,0, M, M
11-Jul-1942,72,0.45, M, M
12-Jul-1942,70,0, M, M
13-Jul-1942,74,0, M, M
14-Jul-1942,71.5,0.21, M, M
15-Jul-1942,67,0, M, M
16-Jul-1942,68,0, M, M
17-Jul-1942,75,0, M, M
18-Jul-1942,83.5,0, M, M
19-Jul-1942,83,0, M, M
20-Jul-1942,79,0.03, M, M
21-Jul-1942,69.5,0, M, M
22-Jul-1942,67.5, T, M, M
23-Jul-1942,66,0.74, M, M
24-Jul-1942,65,0, M, M
25-Jul-1942,65,0, M, M
26-Jul-1942,68,0.38, M, M
27-Jul-1942,66.5,1.4, M, M
28-Jul-1942,72,0, M, M
29-Jul-1942,72,0.12, M, M
30-Jul-1942,73,0, M, M
31-Jul-1942,72.5,0.01, M, M
1-Aug-1942,74,0.01, M, M
2-Aug-1942,76,0, M, M
3-Aug-1942,76.5,1.29, M, M
4-Aug-1942,72,0.03, M, M
5-Aug-1942,66,1.29, M, M
