Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1-Aug-1931, M,0,0, M
2-Aug-1931, M,0.14,0, M
3-Aug-1931, M,0,0, M
4-Aug-1931, M,0.39,0, M
5-Aug-1931, M,0,0, M
6-Aug-1931, M,0,0, M
7-Aug-1931, M,0,0, M
8-Aug-1931, M,0,0, M
9-Aug-1931, M,0,0, M
10-Aug-1931, M,0,0, M
11-Aug-1931, M,0.35,0, M
12-Aug-1931, M,0.05,0, M
13-Aug-1931, M,0,0, M
14-Aug-1931, M,0,0, M
15-Aug-1931, M,0,0, M
16-Aug-1931, M,0,0, M
17-Aug-1931, M,0,0, M
18-Aug-1931, M,0,0, M
19-Aug-1931, M,0.16,0, M
20-Aug-1931, M,0.67,0, M
21-Aug-1931, M,0.96,0, M
22-Aug-1931, M,1.22,0, M
23-Aug-1931, M,0.06,0, M
24-Aug-1931, M,0,0, M
25-Aug-1931, M,0.64,0, M
26-Aug-1931, M,0.48,0, M
27-Aug-1931, M,0.3,0, M
28-Aug-1931, M,0.08,0, M
29-Aug-1931, M,0,0, M
30-Aug-1931, M,0,0, M
31-Aug-1931, M,0,0, M
1-Sep-1931, M,0, M, M
2-Sep-1931, M,0.88, M, M
3-Sep-1931, M,0.14, M, M
4-Sep-1931, M,0, M, M
5-Sep-1931, M,0, M, M
6-Sep-1931, M,0, M, M
7-Sep-1931, M,0, M, M
8-Sep-1931, M,0, M, M
9-Sep-1931, M,0, M, M
10-Sep-1931, M,0, M, M
11-Sep-1931, M,0, M, M
12-Sep-1931, M,0, M, M
13-Sep-1931, M,0, M, M
14-Sep-1931, M,0, M, M
15-Sep-1931, M,0, M, M
16-Sep-1931, M,0, M, M
17-Sep-1931, M,0.36, M, M
18-Sep-1931, M,0, M, M
19-Sep-1931, M,0, M, M
20-Sep-1931, M,0.1, M, M
21-Sep-1931, M,0.25, M, M
22-Sep-1931, M,0, M, M
23-Sep-1931, M,0, M, M
24-Sep-1931, M,0.21, M, M
25-Sep-1931, M,0, M, M
26-Sep-1931, M,0.39, M, M
27-Sep-1931, M,0, M, M
28-Sep-1931, M,0, M, M
29-Sep-1931, M,0, M, M
30-Sep-1931, M,0, M, M
1-Oct-1931, M,0, M, M
2-Oct-1931, M,0, M, M
3-Oct-1931, M,0, M, M
4-Oct-1931, M,0, M, M
