Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1897-09-01,78.5, M, M, M
1897-09-02,86.5, T, M, M
1897-09-03,74, M, M, M
1897-09-04,73, M, M, M
1897-09-05, M, M, M, M
1897-09-06,83.5, M, M, M
1897-09-07, M, M, M, M
1897-09-08, M, M, M, M
1897-09-09, M, M, M, M
1897-09-10,82, M, M, M
1897-09-11,88, M, M, M
1897-09-12,86, M, M, M
1897-09-13, M, M, M, M
1897-09-14,87, M, M, M
1897-09-15,79.5, M, M, M
1897-09-16,83.5, M, M, M
1897-09-17,90.5, T, M, M
1897-09-18, M, M, M, M
1897-09-19, M, M, M, M
1897-09-20, M, M, M, M
1897-09-21, M, M, M, M
1897-09-22,60, M, M, M
1897-09-23,64, M, M, M
1897-09-24,59, M, M, M
1897-09-25,65, M, M, M
1897-09-26,76, M, M, M
1897-09-27,68.5, M, M, M
1897-09-28,55, M, M, M
1897-09-29,64.5, M, M, M
1897-09-30,67, M, M, M
1897-10-01,75.5, M, M, M
1897-10-02, M, M, M, M
1897-10-03, M, M, M, M
1897-10-04, M, M, M, M
1897-10-05, M, M, M, M
1897-10-06, M, M, M, M
1897-10-07, M, M, M, M
1897-10-08, M, M, M, M
1897-10-09, M, M, M, M
1897-10-10, M, M, M, M
1897-10-11, M, M, M, M
1897-10-12, M, M, M, M
1897-10-13, M, M, M, M
1897-10-14, M, M, M, M
1897-10-15, M, M, M, M
1897-10-16, M, M, M, M
1897-10-17, M, M, M, M
1897-10-18, M, M, M, M
1897-10-19, M, M, M, M
1897-10-20, M,0.52, M, M
1897-10-21, M, M, M, M
1897-10-22, M, M, M, M
1897-10-23, M,0.01, M, M
1897-10-24, M,0.1, M, M
1897-10-25, M,0.8, M, M
1897-10-26, M,0.02, M, M
1897-10-27, M, M, M, M
1897-10-28, M, M, M, M
1897-10-29, M, M, M, M
1897-10-30, M, M, M, M
1897-10-31, M, M, M, M
1897-11-01,49, M, M, M
1897-11-02, M, M, M, M
1897-11-03, M, M, M, M
1897-11-04,39, M, M, M
1897-11-05, M, M, M, M
