Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
1-Jan-1900,11, T, T, M
2-Jan-1900,21.5,0,0, M
3-Jan-1900,22.5,0,0, M
4-Jan-1900,23.5,0,0, M
5-Jan-1900,37.5,0,0, M
6-Jan-1900,43.5,0,0, M
7-Jan-1900,40.5,0,0, M
8-Jan-1900,43.5,0,0, M
9-Jan-1900,31,0,0, M
10-Jan-1900,44,0,0, M
11-Jan-1900,43,0.53,0, M
12-Jan-1900,39.5,0.05,0, M
13-Jan-1900,32.5,0,0, M
14-Jan-1900,41.5,0,0, M
15-Jan-1900,43,0,0, M
16-Jan-1900,42.5, T,0, M
17-Jan-1900,42,0.07,0, M
18-Jan-1900,35,0.03,0, M
19-Jan-1900,40,0.18,0, M
20-Jan-1900,47.5,0.64,0, M
21-Jan-1900,41,0,0, M
22-Jan-1900,40.5,0,0, M
23-Jan-1900,37,0,0, M
24-Jan-1900,39,0,0, M
25-Jan-1900,43, T,0, M
26-Jan-1900,24, T, T, M
27-Jan-1900,22,0,0, M
28-Jan-1900,31,0,0, M
29-Jan-1900,21.5,0,0, M
30-Jan-1900,23,0,0, M
31-Jan-1900,22,0, T, M
1-Feb-1900,6.5,0,0, M
2-Feb-1900,18.5, T,0, M
3-Feb-1900,29.5,0,0, M
4-Feb-1900,37,0.15,0, M
5-Feb-1900,36.5, T,0, M
6-Feb-1900,37.5,0,0, M
7-Feb-1900,45,0,0, M
8-Feb-1900,54,0.01,0, M
9-Feb-1900,48.5,0,0, M
10-Feb-1900,28,0,0, M
11-Feb-1900,41,0,0, M
12-Feb-1900,38,0.17,0, M
13-Feb-1900,48,0.59,0, M
14-Feb-1900,34,0,0, M
15-Feb-1900,40,0,0, M
16-Feb-1900,30.5,0.4,7,7
17-Feb-1900,24,0.3,5,12
18-Feb-1900,12.5,0,0,10
19-Feb-1900,17,0,0,8
20-Feb-1900,19.5,0,0, M
21-Feb-1900,31.5,0.37,0, M
22-Feb-1900,39.5,0.37,0, M
23-Feb-1900,38,0,0, M
24-Feb-1900, M,0.12,0, M
25-Feb-1900, M,0,0, M
26-Feb-1900,14,0,0, M
27-Feb-1900,16.5,0,0, M
28-Feb-1900,29.5,0,0, M
1-Mar-1900,38,1.05,0, M
2-Mar-1900,33.5, T,0, M
3-Mar-1900,32.5,0,0, M
4-Mar-1900,39.5,0,0, M
5-Mar-1900,49,0,0, M
6-Mar-1900,47, T,0, M
7-Mar-1900,46,0,0, M
8-Mar-1900,36.5,0,0, M
9-Mar-1900,43.5,0,0, M
10-Mar-1900,45.5,0,0, M
11-Mar-1900,46, T,0, M
12-Mar-1900,26.5,0.15,0, M
13-Mar-1900,45,0,0, M
14-Mar-1900,41.5,0,0, M
15-Mar-1900,29,0.8,8,8
16-Mar-1900, M,0.65,6,13
17-Mar-1900, M,0,0,13
18-Mar-1900,29,0,0,5
19-Mar-1900,43,0.06,0, M
20-Mar-1900,46,0,0, M
21-Mar-1900,29,0,0, M
22-Mar-1900,37.5,0,0, M
23-Mar-1900,50,0,0, M
24-Mar-1900,48,0,0, M
25-Mar-1900,40,0,0, M
26-Mar-1900,42.5,0.38,0, M
27-Mar-1900,46.5,0,0, M
28-Mar-1900,37.5, T,0, M
